Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,207.1,210.8,206.6,209.1,1613510000,21540893856
2018-11-04 00:00:00 +0000 UTC,200.2,211.3,199.0,207.5,1749300000,21371828848
2018-11-03 00:00:00 +0000 UTC,200.7,200.7,199.5,200.2,1307150000,20615851076
2018-11-02 00:00:00 +0000 UTC,199.0,201.3,198.8,200.6,1451870000,20482679355
2018-11-01 00:00:00 +0000 UTC,197.5,203.8,197.3,198.9,1336700000,20471899882
2018-10-31 00:00:00 +0000 UTC,197.7,198.3,196.5,197.4,1442380000,20314525207
2018-10-30 00:00:00 +0000 UTC,197.2,198.1,196.3,197.6,1363500000,20328991627
2018-10-29 00:00:00 +0000 UTC,205.2,205.6,195.7,197.2,1517230000,20293119917
2018-10-28 00:00:00 +0000 UTC,204.5,205.9,203.5,205.4,1139140000,21124318787
2018-10-27 00:00:00 +0000 UTC,203.4,206.1,203.1,204.2,1084810000,21000852986
2018-10-26 00:00:00 +0000 UTC,202.3,204.8,201.6,203.3,1161310000,20906233654
2018-10-25 00:00:00 +0000 UTC,203.9,204.1,201.8,202.7,1102900000,20839361864
2018-10-24 00:00:00 +0000 UTC,204.1,205.6,203.3,203.8,1102220000,20951397461
2018-10-23 00:00:00 +0000 UTC,204.0,205.2,201.9,204.3,1237490000,20997592900
2018-10-22 00:00:00 +0000 UTC,205.2,206.9,203.4,204.0,1328980000,20962566341
2018-10-21 00:00:00 +0000 UTC,205.4,208.2,204.6,205.1,1190300000,21071425351
2018-10-20 00:00:00 +0000 UTC,203.5,206.2,203.1,205.4,1238780000,21097037288
2018-10-19 00:00:00 +0000 UTC,203.3,204.7,201.8,203.7,1264480000,20918281422
2018-10-18 00:00:00 +0000 UTC,207.4,208.5,201.7,203.3,1365860000,20875136033
2018-10-17 00:00:00 +0000 UTC,210.2,211.1,205.9,207.1,1444130000,21253809828
2018-10-16 00:00:00 +0000 UTC,209.6,212.2,208.0,210.1,1532280000,21561538445
2018-10-15 00:00:00 +0000 UTC,195.3,222.1,194.2,209.7,2865830000,21514164081
2018-10-14 00:00:00 +0000 UTC,199.7,201.8,195.2,195.7,1169260000,20074884133
2018-10-13 00:00:00 +0000 UTC,196.4,201.3,196.4,199.8,1167610000,20494427219
2018-10-12 00:00:00 +0000 UTC,188.7,199.4,188.7,196.7,1487900000,20171465375
2018-10-11 00:00:00 +0000 UTC,225.6,225.6,189.3,189.5,2167620000,19426284231
2018-10-10 00:00:00 +0000 UTC,227.6,227.7,224.5,225.8,1384040000,23139815562
2018-10-09 00:00:00 +0000 UTC,229.7,230.2,226.4,228.0,1405130000,23361686457
2018-10-08 00:00:00 +0000 UTC,226.5,230.8,224.6,229.2,1470740000,23488185260
2018-10-07 00:00:00 +0000 UTC,225.4,226.4,223.0,226.1,1470480000,23161870406
2018-10-06 00:00:00 +0000 UTC,227.6,227.9,224.2,225.1,1505070000,23054817090
