Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,40590,1421867
2018-11-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,95024,1470697
2018-11-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,35690,1620710
2018-11-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,60887,1515521
2018-11-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,160215,1565976
2018-10-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,263024,1563954
2018-10-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1168300,1662646
2018-10-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,267824,1408897
2018-10-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,87463,1557802
2018-10-27 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,204168,1656928
2018-10-26 00:00:00 +0000 UTC,0.2,0.5,0.2,0.4,2131430,1805597
2018-10-25 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,290884,1252537
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,82288,1151081
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3793,999888
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8791,998846
2018-10-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10023,997836
2018-10-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4099,996842
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2079,1045719
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,17337,1044810
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5788,1043926
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,45879,1043063
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7199,1042216
2018-10-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9763,991802
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7960,1040598
2018-10-12 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,81913,1039729
2018-10-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5600,939942
2018-10-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12483,1087485
2018-10-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7329,1136141
2018-10-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7198,1135315
2018-10-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5509,1085169
2018-10-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4356,1084376
2018-10-05 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,5153,1083585
2018-10-04 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,6978,1279681
