Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,3.6,4.1,3.4,3.8,973661,0
2018-11-04 00:00:00 +0000 UTC,4.2,4.2,3.5,3.6,989076,0
2018-11-03 00:00:00 +0000 UTC,3.6,4.2,3.5,4.2,1149560,0
2018-11-02 00:00:00 +0000 UTC,3.5,3.6,3.5,3.6,940504,0
2018-11-01 00:00:00 +0000 UTC,3.5,4.0,3.5,3.5,1153690,0
2018-10-31 00:00:00 +0000 UTC,3.8,4.1,3.3,3.5,788664,0
2018-10-30 00:00:00 +0000 UTC,3.8,4.1,3.3,3.7,781097,0
2018-10-29 00:00:00 +0000 UTC,3.9,3.9,3.4,3.8,784912,0
2018-10-28 00:00:00 +0000 UTC,3.9,3.9,3.8,3.9,705283,0
2018-10-27 00:00:00 +0000 UTC,3.9,3.9,3.8,3.9,717884,0
2018-10-26 00:00:00 +0000 UTC,3.9,4.0,3.8,3.9,642860,0
2018-10-25 00:00:00 +0000 UTC,3.5,4.2,3.4,3.9,543300,0
2018-10-24 00:00:00 +0000 UTC,3.7,3.9,3.3,3.5,562977,0
2018-10-23 00:00:00 +0000 UTC,3.8,3.9,3.2,3.6,531797,0
2018-10-22 00:00:00 +0000 UTC,3.8,3.9,3.3,3.6,534734,0
2018-10-21 00:00:00 +0000 UTC,3.6,4.0,3.4,3.6,500997,0
2018-10-20 00:00:00 +0000 UTC,4.0,4.0,3.5,3.7,554668,0
2018-10-19 00:00:00 +0000 UTC,3.9,4.2,3.6,4.0,550714,0
2018-10-18 00:00:00 +0000 UTC,3.7,3.9,3.6,3.9,420441,0
2018-10-17 00:00:00 +0000 UTC,3.6,3.7,3.5,3.6,654322,0
2018-10-16 00:00:00 +0000 UTC,3.7,3.7,3.5,3.6,967613,0
2018-10-15 00:00:00 +0000 UTC,3.7,4.2,3.5,3.6,1321150,0
2018-10-14 00:00:00 +0000 UTC,3.6,3.8,3.5,3.7,1049600,0
2018-10-13 00:00:00 +0000 UTC,3.9,4.1,3.5,3.6,970916,0
2018-10-12 00:00:00 +0000 UTC,3.8,4.1,3.6,4.0,1382000,0
2018-10-11 00:00:00 +0000 UTC,3.4,4.2,3.2,4.0,1774090,0
2018-10-10 00:00:00 +0000 UTC,3.6,3.7,3.4,3.7,631484,0
2018-10-09 00:00:00 +0000 UTC,3.5,3.7,3.4,3.5,1050940,0
2018-10-08 00:00:00 +0000 UTC,3.6,3.7,3.4,3.7,1667710,0
2018-10-07 00:00:00 +0000 UTC,3.5,3.7,3.4,3.4,990710,0
2018-10-06 00:00:00 +0000 UTC,3.7,3.8,3.4,3.7,1012170,0
2018-10-05 00:00:00 +0000 UTC,3.8,4.3,3.4,3.6,1320620,0
2018-10-04 00:00:00 +0000 UTC,3.6,4.4,3.3,3.8,1433850,0
2018-10-03 00:00:00 +0000 UTC,3.4,3.6,3.3,3.6,1094300,0
2018-10-02 00:00:00 +0000 UTC,3.6,3.6,3.3,3.6,1107610,0
2018-10-01 00:00:00 +0000 UTC,3.6,3.7,3.3,3.6,1139670,0
2018-09-30 00:00:00 +0000 UTC,3.5,3.7,3.3,3.7,1526730,0
2018-09-29 00:00:00 +0000 UTC,3.6,3.7,3.3,3.4,1658890,0
2018-09-28 00:00:00 +0000 UTC,3.5,4.3,3.3,3.5,1293220,0
2018-09-27 00:00:00 +0000 UTC,4.0,4.4,3.3,3.5,1021840,0
2018-09-26 00:00:00 +0000 UTC,4.1,4.3,3.4,4.1,746519,0
2018-09-25 00:00:00 +0000 UTC,4.2,4.4,3.8,4.1,496233,0
2018-09-24 00:00:00 +0000 UTC,4.4,4.5,3.8,4.1,765454,0
2018-09-23 00:00:00 +0000 UTC,3.5,4.5,3.5,4.2,853584,0
2018-09-22 00:00:00 +0000 UTC,3.7,4.0,3.4,3.5,748332,0
2018-09-21 00:00:00 +0000 UTC,3.7,4.0,3.4,3.9,734331,0
2018-09-20 00:00:00 +0000 UTC,4.2,4.4,3.3,3.5,629690,0
2018-09-19 00:00:00 +0000 UTC,4.2,4.4,3.8,4.3,805095,0
2018-09-18 00:00:00 +0000 UTC,3.4,4.3,3.2,4.1,931995,0
2018-09-17 00:00:00 +0000 UTC,3.5,3.8,3.3,3.3,793972,0
2018-09-16 00:00:00 +0000 UTC,3.8,3.9,3.4,3.5,760214,0
2018-09-15 00:00:00 +0000 UTC,3.8,3.9,3.4,3.8,782714,0
2018-09-14 00:00:00 +0000 UTC,3.7,3.9,3.4,3.8,672500,0
2018-09-13 00:00:00 +0000 UTC,3.5,3.9,3.3,3.9,734649,0
2018-09-12 00:00:00 +0000 UTC,4.0,4.4,3.2,3.4,580312,0
2018-09-11 00:00:00 +0000 UTC,3.9,4.2,3.5,4.1,833985,0
2018-09-10 00:00:00 +0000 UTC,3.3,4.2,3.3,3.9,853201,0
2018-09-09 00:00:00 +0000 UTC,3.3,3.4,3.2,3.3,899000,0
2018-09-08 00:00:00 +0000 UTC,4.1,4.4,3.2,3.3,897347,0
2018-09-07 00:00:00 +0000 UTC,4.0,4.4,3.9,4.0,904918,0
2018-09-06 00:00:00 +0000 UTC,3.9,4.3,3.4,4.2,957680,0
2018-09-05 00:00:00 +0000 UTC,4.4,5.2,4.0,4.0,984364,0
2018-09-04 00:00:00 +0000 UTC,4.8,5.2,3.9,4.1,686103,0
2018-09-03 00:00:00 +0000 UTC,4.5,5.2,3.9,4.5,912693,0
2018-09-02 00:00:00 +0000 UTC,5.0,5.2,3.9,4.2,809510,0
2018-09-01 00:00:00 +0000 UTC,5.0,5.2,4.6,4.8,1057340,0
2018-08-31 00:00:00 +0000 UTC,5.0,5.0,4.5,4.7,1024960,0
2018-08-30 00:00:00 +0000 UTC,4.7,5.0,4.5,4.9,1023140,0
2018-08-29 00:00:00 +0000 UTC,5.0,5.3,4.7,4.7,1239700,0
2018-08-28 00:00:00 +0000 UTC,4.5,5.3,4.5,5.2,1611540,0
2018-08-27 00:00:00 +0000 UTC,4.7,5.1,4.4,4.9,1132200,0
2018-08-26 00:00:00 +0000 UTC,5.1,5.1,4.1,4.5,957617,0
2018-08-25 00:00:00 +0000 UTC,4.0,5.1,4.0,5.0,843320,0
2018-08-24 00:00:00 +0000 UTC,4.8,5.0,3.1,4.4,985179,0
2018-08-23 00:00:00 +0000 UTC,4.7,5.0,4.3,4.7,1439260,0
2018-08-22 00:00:00 +0000 UTC,4.9,5.3,4.5,4.8,899783,0
2018-08-21 00:00:00 +0000 UTC,4.4,5.1,4.2,4.6,772696,0
2018-08-20 00:00:00 +0000 UTC,4.4,4.6,4.1,4.3,644126,0
2018-08-19 00:00:00 +0000 UTC,4.5,4.6,4.1,4.4,600841,0
2018-08-18 00:00:00 +0000 UTC,4.3,4.7,4.1,4.6,787072,0
2018-08-17 00:00:00 +0000 UTC,4.6,4.7,4.1,4.5,1141900,0
2018-08-16 00:00:00 +0000 UTC,4.5,4.7,4.0,4.6,840286,0
2018-08-15 00:00:00 +0000 UTC,4.7,4.8,4.1,4.3,442913,0
2018-08-14 00:00:00 +0000 UTC,5.0,5.2,4.4,4.7,428117,0
2018-08-13 00:00:00 +0000 UTC,4.7,5.6,4.5,5.0,509326,0
2018-08-12 00:00:00 +0000 UTC,4.8,5.6,4.6,5.0,597339,0
2018-08-11 00:00:00 +0000 UTC,4.9,5.8,4.5,5.1,443747,0
2018-08-10 00:00:00 +0000 UTC,5.4,6.0,4.5,4.9,459299,0
2018-08-09 00:00:00 +0000 UTC,5.8,6.2,5.2,5.6,575044,0
2018-08-08 00:00:00 +0000 UTC,5.4,6.2,4.9,5.6,678610,0
2018-08-07 00:00:00 +0000 UTC,6.5,6.7,5.2,5.6,624217,0
2018-08-06 00:00:00 +0000 UTC,6.5,6.7,6.2,6.3,658248,0
2018-08-05 00:00:00 +0000 UTC,6.3,6.6,6.2,6.4,688108,0
2018-08-04 00:00:00 +0000 UTC,6.2,6.8,5.2,5.7,815983,0
2018-08-03 00:00:00 +0000 UTC,6.7,6.8,5.4,6.4,674788,0
