Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4960,5989086
2018-11-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41880,6844670
2018-11-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11380,5989086
2018-11-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10936,5989086
2018-11-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16502,5989086
2018-10-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53025,5989086
2018-10-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,45405,5989086
2018-10-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,150480,5989086
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20899,5989086
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16126,5989086
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28321,5989086
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74640,5989086
2018-10-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20712,6844670
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31861,6844670
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41842,6844670
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44688,6844670
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40143,6844670
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22075,6844670
2018-10-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,45272,6844670
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12834,5989086
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24108,5989086
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47103,5989086
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22925,5989086
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35496,5989086
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29377,5989086
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76578,5989086
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,63395,6844670
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87046,6844670
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,149802,6844670
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,194061,7700253
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,131376,5989086
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,119399,5989086
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,161288,5989086
2018-10-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,259435,5133502
2018-10-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,764381,5989086
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,882041,5989086
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,907118,5989086
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,929419,5989086
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,924414,5989086
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,897343,5989086
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,875693,5133502
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,960069,5989086
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,901262,5989086
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,922526,5989086
2018-09-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,988317,5989086
2018-09-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,989097,5989086
2018-09-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,852155,5989086
2018-09-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,856181,5133502
2018-09-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,874842,5133502
2018-09-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,910565,5133502
2018-09-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,917672,5989086
2018-09-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,922123,5133502
2018-09-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,963170,5133502
2018-09-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,958981,5989086
2018-09-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,948934,5133502
2018-09-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,930449,5133502
2018-09-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,964904,5133502
2018-09-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,951443,5133502
2018-09-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,897795,5133502
2018-09-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,942786,5989086
2018-09-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,968342,5989086
2018-09-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1002030,5989086
2018-09-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1141550,6844670
2018-09-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1158620,6844670
2018-09-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1199180,6844670
2018-09-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1190860,6844670
2018-08-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,960754,5989086
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,963106,5989086
