Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,236523,7397897
2018-11-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,42019,7396598
2018-11-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,130126,7395425
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49607,5905718
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5590,5905718
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19531,5905711
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7542,5905709
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5231,5905703
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5142,5905698
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23176,5905697
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18519,5905065
2018-10-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,33514,5903975
2018-10-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,68421,7378611
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21983,7377232
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39396,5900691
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42671,5899596
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73769,5898511
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4111,4423075
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3668,4422260
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4379,4421457
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5620,4420641
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10399,4419815
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7163,4419008
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6098,2945467
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11878,2944940
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3159,2944406
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3529,4415793
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,968,4414976
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4656,4414168
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3333,4413366
