Date,Open,High,Low,Close,Volume,MarketCap
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,58486
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,58486
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,58486
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,58486
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,58486
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,58486
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,58486
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,58486
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,58486
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,58486
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,58486
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,58486
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,58486
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,58486
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,58486
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,58486
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,58486
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,58486
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,58486
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,58486
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,58486
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,58486
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,58486
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,58486
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,58486
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,58486
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,58486
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,58486
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,58486
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,415,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276,58486
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,58486
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,58486
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,58486
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,58486
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,58486
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,58486
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,58486
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,58486
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,58486
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,58486
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,58486
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,58486
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,58486
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15350,58486
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,116972
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,116972
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303,58486
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15079,58486
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14994,58486
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1311,58486
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,116972
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,116972
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,116972
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,436,116972
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,116972
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,975,116972
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1007,116972
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,393,116972
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,116972
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,546,116972
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,116972
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,116972
