Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,3902,2321802
2018-11-04 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,6797,2417219
2018-11-03 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,8786,2512635
2018-11-02 00:00:00 +0000 UTC,0.8,0.9,0.7,0.8,11791,2639857
2018-11-01 00:00:00 +0000 UTC,0.8,4.3,0.8,0.8,12639,2639857
2018-10-31 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,4260,2703468
2018-10-30 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,11308,2957913
2018-10-29 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,4648,2957913
2018-10-28 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,6641,3085135
2018-10-27 00:00:00 +0000 UTC,1.0,1.1,0.9,1.0,10022,3148746
2018-10-26 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,9958,3053329
2018-10-25 00:00:00 +0000 UTC,1.1,1.1,0.9,0.9,7468,2767079
2018-10-24 00:00:00 +0000 UTC,1.0,1.1,0.9,1.1,14327,3403190
2018-10-23 00:00:00 +0000 UTC,1.0,1.1,0.9,1.0,12312,3180551
2018-10-22 00:00:00 +0000 UTC,1.1,1.2,1.0,1.0,7806,3212357
2018-10-21 00:00:00 +0000 UTC,1.1,1.2,1.0,1.1,32926,3594023
2018-10-20 00:00:00 +0000 UTC,1.0,1.2,1.0,1.1,11274,3530412
2018-10-19 00:00:00 +0000 UTC,0.9,1.1,0.9,1.0,22175,3275968
2018-10-18 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,6024,3021524
2018-10-17 00:00:00 +0000 UTC,0.8,1.0,0.8,0.9,7101,2703468
2018-10-16 00:00:00 +0000 UTC,0.8,1.0,0.8,0.8,8084,2576246
2018-10-15 00:00:00 +0000 UTC,0.9,1.0,0.8,0.8,4065,2671663
2018-10-14 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,39004,2957913
2018-10-13 00:00:00 +0000 UTC,0.7,1.0,0.6,1.0,31518,3085135
2018-10-12 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,12332,2099164
2018-10-11 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,6744,1908331
2018-10-10 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,2016,1908331
2018-10-09 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,2767,1844720
2018-10-08 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,5457,2003747
2018-10-07 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,984,1812914
2018-10-06 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,6634,1781109
2018-10-05 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1091,1812914
2018-10-04 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1579,1940136
2018-10-03 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1421,1812914
2018-10-02 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,964,1934262
2018-10-01 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,7783,1997680
2018-09-30 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,542,1839134
2018-09-29 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,506,1870843
2018-09-28 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,1358,1934262
2018-09-27 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,19,1839134
2018-09-26 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,816,1807425
2018-09-25 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,1992,1775716
2018-09-24 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,2976,1807425
