Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,36918
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293,36910
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,36899
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,46099
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159,46098
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,345,46038
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1204,45992
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,200,36724
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,300,36724
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1127,45904
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,95,36724
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,135,2343
2018-10-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,226,2343
2018-10-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,138,1875
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,186,1875
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,570,2812
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,258,2812
2018-10-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,668,2343
2018-10-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,319,1875
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,109,2812
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,282,2343
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,509,3280
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,723,2812
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,481,2812
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,927,2812
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,614,2812
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,154,3280
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,452,2812
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,350,3280
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,546,3280
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1519,3280
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4332,3280
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,461,3280
2018-10-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,3203,2812
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,456,2343
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2771,2343
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,13623,2812
2018-09-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,12947,2812
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,946,2343
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,5661,3280
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,4514,2812
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1523,2812
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4394,2343
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10800,3749
2018-09-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7456,3280
2018-09-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11204,3749
2018-09-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3214,3280
2018-09-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7991,4218
2018-09-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8073,3749
2018-09-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6786,2812
2018-09-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3952,4218
2018-09-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9759,4218
2018-09-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,4852,4218
