Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,15587,1253389
2018-11-04 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,19327,1325204
2018-11-03 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,20590,1324374
2018-11-02 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,11276,1286490
2018-11-01 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,20481,1286393
2018-10-31 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,8177,1267493
2018-10-30 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,16985,1321027
2018-10-29 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,21834,1338375
2018-10-28 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,10236,1391669
2018-10-27 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,16229,1390808
2018-10-26 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,25615,1425982
2018-10-25 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,23088,1443151
2018-10-24 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,22289,1460268
2018-10-23 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,18717,1315202
2018-10-22 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,22951,1422406
2018-10-21 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,18356,1421596
2018-10-20 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,30916,1402721
2018-10-19 00:00:00 +0000 UTC,0.7,1.0,0.7,0.8,59872,1419780
2018-10-18 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,28599,1329045
2018-10-17 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,52934,1399955
2018-10-16 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,14888,1273601
2018-10-15 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,24840,1290834
2018-10-14 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,46471,1379632
2018-10-13 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,23529,1414584
2018-10-12 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,19614,1449469
2018-10-11 00:00:00 +0000 UTC,1.0,1.0,0.8,0.8,22961,1430684
2018-10-10 00:00:00 +0000 UTC,0.9,1.5,0.8,1.0,26290,1805046
2018-10-09 00:00:00 +0000 UTC,1.3,1.3,0.9,0.9,34437,1589573
2018-10-08 00:00:00 +0000 UTC,0.9,2.7,0.9,1.2,28672,2231086
2018-10-07 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,31754,1587494
2018-10-06 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,25034,1515157
2018-10-05 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,36863,1531945
2018-10-04 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,17793,1619934
2018-10-03 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,16747,1601103
2018-10-02 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,12028,1582334
2018-10-01 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,15042,1616816
2018-09-30 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,34717,1669031
2018-09-29 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,31034,1579276
2018-09-28 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,30556,1720110
2018-09-27 00:00:00 +0000 UTC,1.0,1.1,1.0,1.1,24904,1896208
2018-09-26 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,21481,1735567
2018-09-25 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,26371,1734436
2018-09-24 00:00:00 +0000 UTC,1.1,1.2,1.1,1.1,31059,1998594
2018-09-23 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,35703,2032645
2018-09-22 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,38494,2102074
2018-09-21 00:00:00 +0000 UTC,1.3,1.4,1.2,1.2,52137,2206579
2018-09-20 00:00:00 +0000 UTC,1.4,1.5,1.2,1.3,50255,2275773
2018-09-19 00:00:00 +0000 UTC,1.3,1.5,1.2,1.4,71435,2521094
2018-09-18 00:00:00 +0000 UTC,0.9,1.5,0.8,1.4,91797,2378359
2018-09-17 00:00:00 +0000 UTC,1.1,1.1,0.9,0.9,27614,1654952
2018-09-16 00:00:00 +0000 UTC,1.0,1.1,0.9,1.1,43327,1847573
2018-09-15 00:00:00 +0000 UTC,0.7,1.0,0.7,1.0,46465,1740736
2018-09-14 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,11102,1194831
2018-09-13 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,17096,1158952
2018-09-12 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,20476,1088011
2018-09-11 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,18899,1227626
2018-09-10 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,6258,1279429
2018-09-09 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,12123,1296136
2018-09-08 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,11532,1277746
2018-09-07 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,18572,1399374
2018-09-06 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,25376,1346055
2018-09-05 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,21325,1362609
2018-09-04 00:00:00 +0000 UTC,0.8,1.0,0.8,0.9,45247,1588730
2018-09-03 00:00:00 +0000 UTC,0.9,1.0,0.8,0.8,138820,1395764
2018-09-02 00:00:00 +0000 UTC,1.1,1.1,0.9,0.9,61850,1586610
2018-09-01 00:00:00 +0000 UTC,1.1,1.2,0.9,1.1,116066,1916615
2018-08-31 00:00:00 +0000 UTC,1.8,1.9,0.9,1.1,298109,1985156
2018-08-30 00:00:00 +0000 UTC,2.0,2.0,1.7,1.8,63390,3184553
2018-08-29 00:00:00 +0000 UTC,2.0,2.2,1.8,2.0,84747,3408583
2018-08-28 00:00:00 +0000 UTC,1.6,2.2,1.5,2.0,156847,3458411
2018-08-27 00:00:00 +0000 UTC,2.0,2.1,1.5,1.7,73648,2987184
2018-08-26 00:00:00 +0000 UTC,2.1,2.2,1.8,2.0,64637,3540728
2018-08-25 00:00:00 +0000 UTC,2.5,2.6,1.8,2.1,77452,3642419
2018-08-24 00:00:00 +0000 UTC,2.4,2.7,2.3,2.5,51126,4350757
2018-08-23 00:00:00 +0000 UTC,2.4,2.7,2.3,2.4,77472,4157398
2018-08-22 00:00:00 +0000 UTC,3.0,3.4,2.4,2.4,69446,4172036
2018-08-21 00:00:00 +0000 UTC,3.3,3.5,2.9,2.9,75251,5051522
2018-08-20 00:00:00 +0000 UTC,3.1,3.5,3.0,3.2,57365,5549439
2018-08-19 00:00:00 +0000 UTC,2.8,3.1,2.7,3.1,55294,5390577
2018-08-18 00:00:00 +0000 UTC,3.2,3.3,2.8,2.8,52221,4903377
2018-08-17 00:00:00 +0000 UTC,2.5,3.5,2.4,3.1,119643,5434799
2018-08-16 00:00:00 +0000 UTC,2.3,2.8,1.9,2.4,155492,4103580
2018-08-15 00:00:00 +0000 UTC,2.5,2.7,2.2,2.3,74881,3963013
2018-08-14 00:00:00 +0000 UTC,3.1,3.1,2.3,2.5,63456,4305048
2018-08-13 00:00:00 +0000 UTC,3.1,3.5,3.1,3.1,49925,5300376
2018-08-12 00:00:00 +0000 UTC,3.2,3.4,3.1,3.1,25145,5416939
2018-08-11 00:00:00 +0000 UTC,3.5,3.5,3.3,3.3,20152,5602470
2018-08-10 00:00:00 +0000 UTC,3.5,3.6,3.3,3.5,30909,5942471
2018-08-09 00:00:00 +0000 UTC,3.8,3.9,3.2,3.5,39651,5938527
2018-08-08 00:00:00 +0000 UTC,4.0,4.0,3.0,3.7,99548,6414508
2018-08-07 00:00:00 +0000 UTC,4.4,4.5,3.9,4.0,76914,6770660
2018-08-06 00:00:00 +0000 UTC,4.7,4.8,4.1,4.3,71806,7314634
2018-08-05 00:00:00 +0000 UTC,4.5,4.7,4.4,4.7,24474,8011613
2018-08-04 00:00:00 +0000 UTC,4.8,5.0,4.4,4.5,23465,7783754
2018-08-03 00:00:00 +0000 UTC,4.8,5.0,4.7,4.8,73736,8240065
2018-08-02 00:00:00 +0000 UTC,5.1,5.3,4.8,4.8,106938,8217429
2018-08-01 00:00:00 +0000 UTC,5.3,5.4,4.8,5.0,87703,8451517
2018-07-31 00:00:00 +0000 UTC,5.6,5.7,4.8,5.3,87561,9094393
2018-07-30 00:00:00 +0000 UTC,5.8,6.1,4.5,5.6,304214,9599494
2018-07-29 00:00:00 +0000 UTC,3.9,5.9,3.6,5.8,239847,9933814
2018-07-28 00:00:00 +0000 UTC,3.8,4.0,3.7,3.9,39364,6674714
2018-07-27 00:00:00 +0000 UTC,3.5,3.9,3.4,3.8,25926,6499482
2018-07-26 00:00:00 +0000 UTC,4.0,4.0,3.4,3.4,31381,5849442
2018-07-25 00:00:00 +0000 UTC,3.9,4.1,3.8,3.8,32467,6525109
2018-07-24 00:00:00 +0000 UTC,3.8,4.2,3.8,4.0,37367,6741342
2018-07-23 00:00:00 +0000 UTC,3.8,4.2,3.5,3.8,39609,6414468
2018-07-22 00:00:00 +0000 UTC,3.5,4.3,3.0,3.8,69625,6494849
2018-07-21 00:00:00 +0000 UTC,3.4,3.5,3.3,3.4,14726,5761807
2018-07-20 00:00:00 +0000 UTC,3.7,3.7,3.2,3.4,22026,5707112
2018-07-19 00:00:00 +0000 UTC,3.8,4.0,3.6,3.7,35937,6193983
2018-07-18 00:00:00 +0000 UTC,3.8,4.2,3.7,3.8,33141,6392627
2018-07-17 00:00:00 +0000 UTC,3.5,4.2,3.3,3.8,41726,6354382
2018-07-16 00:00:00 +0000 UTC,3.4,3.8,3.1,3.5,34033,5928043
2018-07-15 00:00:00 +0000 UTC,3.6,3.6,3.0,3.4,66091,5721334
2018-07-14 00:00:00 +0000 UTC,3.7,3.8,3.6,3.6,24988,6088471
2018-07-13 00:00:00 +0000 UTC,3.8,4.0,3.6,3.8,49408,6320329
2018-07-12 00:00:00 +0000 UTC,3.9,4.0,3.4,3.8,72595,6417279
2018-07-11 00:00:00 +0000 UTC,3.9,4.1,3.9,3.9,24761,6631820
2018-07-10 00:00:00 +0000 UTC,4.6,4.7,3.8,3.9,49727,6526195
2018-07-09 00:00:00 +0000 UTC,4.8,4.8,4.2,4.6,107711,7732044
2018-07-08 00:00:00 +0000 UTC,4.9,5.1,4.6,4.8,71298,8062892
2018-07-07 00:00:00 +0000 UTC,5.3,5.4,4.4,4.9,91266,8292062
2018-07-06 00:00:00 +0000 UTC,5.7,5.7,5.2,5.4,77293,8991042
2018-07-05 00:00:00 +0000 UTC,5.8,6.3,5.3,5.7,175812,9488068
2018-07-04 00:00:00 +0000 UTC,4.7,6.0,4.5,5.8,158664,9665564
2018-07-03 00:00:00 +0000 UTC,4.6,4.8,4.5,4.7,82614,7851084
2018-07-02 00:00:00 +0000 UTC,4.4,4.7,4.1,4.7,93630,7778721
2018-07-01 00:00:00 +0000 UTC,4.6,4.6,4.4,4.5,45264,7456385
2018-06-30 00:00:00 +0000 UTC,4.3,4.7,4.3,4.6,61473,7651298
2018-06-29 00:00:00 +0000 UTC,4.0,4.5,4.0,4.3,147927,7228403
2018-06-28 00:00:00 +0000 UTC,3.5,5.0,3.5,4.0,300075,6656410
2018-06-27 00:00:00 +0000 UTC,3.9,3.9,3.1,3.5,160518,5884726
2018-06-26 00:00:00 +0000 UTC,3.7,4.0,3.5,3.9,107102,6430780
2018-06-25 00:00:00 +0000 UTC,3.9,4.4,3.1,3.6,385162,6076772
2018-06-24 00:00:00 +0000 UTC,4.6,4.7,2.9,3.8,479995,6355422
2018-06-23 00:00:00 +0000 UTC,5.3,6.1,4.2,4.6,486109,7698158
2018-06-22 00:00:00 +0000 UTC,7.0,7.4,2.7,5.2,2076110,8656744
2018-06-21 00:00:00 +0000 UTC,10.5,11.1,6.7,6.9,765386,11390489
2018-06-20 00:00:00 +0000 UTC,9.8,10.8,9.4,10.5,64769,17404789
2018-06-19 00:00:00 +0000 UTC,9.9,10.0,9.5,9.8,41792,16315322
2018-06-18 00:00:00 +0000 UTC,9.1,10.0,8.8,9.9,56186,16403559
2018-06-17 00:00:00 +0000 UTC,9.3,9.3,8.9,9.1,33260,15051287
2018-06-16 00:00:00 +0000 UTC,9.1,9.3,8.7,9.2,43084,15306023
2018-06-15 00:00:00 +0000 UTC,9.4,9.6,8.7,9.1,71631,15014380
2018-06-14 00:00:00 +0000 UTC,8.5,9.9,8.5,9.6,90126,15830127
2018-06-13 00:00:00 +0000 UTC,9.1,9.9,8.2,8.8,134620,14580526
2018-06-12 00:00:00 +0000 UTC,10.0,10.9,8.9,9.1,154120,14950420
2018-06-11 00:00:00 +0000 UTC,10.4,10.6,9.1,10.2,171457,16869850
2018-06-10 00:00:00 +0000 UTC,12.9,12.9,9.1,10.4,184069,17072687
2018-06-09 00:00:00 +0000 UTC,13.7,13.9,12.8,12.8,101525,21045832
2018-06-08 00:00:00 +0000 UTC,14.3,14.8,13.0,13.8,168099,22726133
2018-06-07 00:00:00 +0000 UTC,13.1,14.9,12.9,14.6,233823,24008806
2018-06-06 00:00:00 +0000 UTC,13.3,15.2,12.2,13.1,592836,21510257
2018-06-05 00:00:00 +0000 UTC,9.4,14.4,8.7,13.5,506278,22168468
2018-06-04 00:00:00 +0000 UTC,9.6,10.9,9.0,9.4,104491,15375202
2018-06-03 00:00:00 +0000 UTC,9.2,9.7,8.7,9.6,78243,15676170
2018-06-02 00:00:00 +0000 UTC,9.1,9.8,8.9,9.2,60370,15043163
2018-06-01 00:00:00 +0000 UTC,9.6,9.9,8.3,9.1,112103,14933751
2018-05-31 00:00:00 +0000 UTC,10.3,11.1,9.3,9.7,101732,15823492
2018-05-30 00:00:00 +0000 UTC,9.3,11.3,9.1,10.2,172787,16663327
2018-05-29 00:00:00 +0000 UTC,9.1,9.8,8.4,9.3,122465,15164473
2018-05-28 00:00:00 +0000 UTC,8.6,10.0,8.4,9.1,104411,14844086
2018-05-27 00:00:00 +0000 UTC,8.9,9.1,8.4,8.6,51254,13967958
2018-05-26 00:00:00 +0000 UTC,10.1,10.1,8.6,8.7,81044,14250716
2018-05-25 00:00:00 +0000 UTC,10.8,11.0,9.3,10.1,87423,16423029
2018-05-24 00:00:00 +0000 UTC,10.2,11.2,9.3,10.7,198864,17487629
2018-05-23 00:00:00 +0000 UTC,12.2,12.3,7.9,10.1,499050,16450798
2018-05-22 00:00:00 +0000 UTC,13.5,13.8,12.2,12.2,185189,19805494
2018-05-21 00:00:00 +0000 UTC,13.8,14.2,11.9,13.5,255617,21887441
2018-05-20 00:00:00 +0000 UTC,12.0,14.8,11.1,13.4,325715,21741247
2018-05-19 00:00:00 +0000 UTC,14.0,14.3,11.1,12.0,287674,19438231
2018-05-18 00:00:00 +0000 UTC,14.2,15.3,13.2,14.0,328008,22750078
2018-05-17 00:00:00 +0000 UTC,15.6,16.3,13.3,14.2,406094,22976093
2018-05-16 00:00:00 +0000 UTC,13.9,16.2,13.1,15.5,572817,25160920
2018-05-15 00:00:00 +0000 UTC,15.9,17.1,13.6,14.0,641802,22636055
2018-05-14 00:00:00 +0000 UTC,16.1,17.9,10.7,16.0,2120580,25853509
2018-05-13 00:00:00 +0000 UTC,9.8,16.6,9.5,16.0,1562660,25803094
2018-05-12 00:00:00 +0000 UTC,7.6,9.8,7.4,9.7,515385,15579991
2018-05-11 00:00:00 +0000 UTC,7.8,8.2,6.3,7.6,398794,12309592
2018-05-10 00:00:00 +0000 UTC,8.0,8.8,7.6,7.8,346290,12607692
2018-05-09 00:00:00 +0000 UTC,7.7,8.8,7.0,8.0,497547,12904934
2018-05-08 00:00:00 +0000 UTC,5.8,8.8,5.8,7.6,798200,12219011
2018-05-07 00:00:00 +0000 UTC,6.5,6.5,5.2,5.9,276303,9427479
2018-05-06 00:00:00 +0000 UTC,4.7,6.5,4.1,6.5,201975,10465416
2018-05-05 00:00:00 +0000 UTC,4.6,4.9,4.3,4.5,37186,7244597
2018-05-04 00:00:00 +0000 UTC,5.1,5.1,4.1,4.6,118136,7431367
2018-05-03 00:00:00 +0000 UTC,4.9,5.4,4.6,5.1,92161,8244595
2018-05-02 00:00:00 +0000 UTC,3.9,5.6,3.8,4.9,180567,7838205
2018-05-01 00:00:00 +0000 UTC,4.5,4.6,3.6,4.0,185782,6455064
2018-04-30 00:00:00 +0000 UTC,5.1,5.2,4.5,4.5,115992,7234960
2018-04-29 00:00:00 +0000 UTC,5.1,6.1,4.5,5.1,184257,8093636
