Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,17787
2018-11-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,58,17787
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,17787
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,17787
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,17787
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,17787
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,17787
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,17787
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,17787
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,17787
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,17787
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,23716
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,17787
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,17787
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,17787
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,23716
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,17787
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,17787
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,17787
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,17787
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,23716
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,17787
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,17787
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,17787
2018-10-12 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1,35574
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,17787
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,23716
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,17787
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,17787
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,17787
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,17787
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,17787
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,17787
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,17787
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,17787
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4,17787
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,17787
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,17787
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,17787
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,17787
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,17787
