Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52904,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52069,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50789,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38962,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51651,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43553,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55632,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49239,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33396,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47591,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46771,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49210,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10717,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31139,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18155,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,806,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45399,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,388,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3987,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15579,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33696,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41242,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40896,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38948,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21833,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25906,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57501,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29776,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56199,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17841,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37441,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36146,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68188,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68968,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60972,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80719,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57875,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71715,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27539,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51989,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62276,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79079,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72634,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93378,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94359,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70494,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86708,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91389,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81288,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82074,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64855,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72688,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78308,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56871,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48446,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32462,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46371,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24258,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52055,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26511,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59818,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55841,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50498,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48772,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29208,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25454,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28351,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23058,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18917,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36967,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39890,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37609,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37414,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31694,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20325,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25741,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27699,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34536,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22465,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40252,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40956,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37716,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31349,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42141,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21991,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25001,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11727,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34514,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39617,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42693,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36219,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49656,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47725,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68211,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54302,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27498,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57022,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11656,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15386,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14900,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64744,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50252,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42782,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39501,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30831,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17141,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30339,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38541,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15847,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27036,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21761,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16518,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25036,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14286,0
