Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,372,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,250,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,812,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,228,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,199,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,460,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,929,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,791,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,909,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,499,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,717,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1013,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,268,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,330,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,971,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,526,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,399,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,596,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,421,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,359,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,441,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,526,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1079,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,721,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,849,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,872,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1195,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1523,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1372,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,346,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1663,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,504,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,879,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,485,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1178,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1026,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,554,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2585,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6404,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6166,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,579,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,851,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1543,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3988,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1533,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,660,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2497,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1172,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,937,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2236,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1515,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3236,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5954,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2041,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1237,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2850,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3745,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,906,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2053,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3092,0
