Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,1913813
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,375,1913813
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202,1913813
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70,1913813
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1144,1913813
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1410,1913813
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72,1913813
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,1913813
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1537,1913813
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,1913813
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,328,1913813
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,640,1913813
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,1913813
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260,1913813
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,1913813
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,486,1913813
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2532,1913813
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112,1913813
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3378,1913813
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,423,1913813
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,1913813
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,410,1913813
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160,1913813
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,1913813
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343,1913813
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,529,1913813
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,910,1913813
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1310,1913813
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,782,1913813
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,642,1913813
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,402,1913813
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,934,1913813
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183,1913813
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251,1913813
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,3827625
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8023,3827625
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,985,3827625
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1610,3827625
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,855,3827625
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1591,3827625
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1494,3827625
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150,1913813
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,1913813
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1048,1913813
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,352,1913813
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,387,1913813
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,482,1913813
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,560,1913813
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181,1913813
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4771,1913813
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4707,1913813
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,449,1913813
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,1913813
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411,1913813
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,436,1913813
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183,1913813
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,550,1913813
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235,1913813
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,830,1913813
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1029,1913813
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,949,1913813
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2117,1913813
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4180,1913813
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,792,3827625
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2001,3827625
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1749,3827625
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,887,3827625
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,559,3827625
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1733,3827625
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1900,3827625
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,527,3827625
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5340,3827625
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,1913813
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,1913813
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,371,1913813
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1523,1913813
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,747,1913813
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1361,1913813
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,751,1913813
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,776,1913813
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1431,1913813
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,820,1913813
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,262,1913813
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1793,1913813
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293,1913813
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,1913813
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1693,1913813
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1580,1913813
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2564,1913813
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,977,1913813
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1659,1913813
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1581,1913813
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1294,1913813
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1534,1913813
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1453,3827625
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3862,3827625
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,3827625
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2843,3827625
