Date,Open,High,Low,Close,Volume,MarketCap
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,5888939
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154,5888939
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192,5888939
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,200,5888939
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,5888939
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,5888939
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,5888939
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,5888939
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,5888939
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,5888939
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72,5888939
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,3925959
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,3925959
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,3925959
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154,5888939
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,5888939
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151,5888939
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,5888939
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,5888939
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,5888939
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,3925959
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,5888939
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,5888939
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,5888939
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,3925959
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,3925959
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,5888939
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,5888939
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,5888939
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,5888939
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70,3925959
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,5888939
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,5888939
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,5888939
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,5888939
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,310,5888939
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,5888939
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,5888939
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,5888939
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,262,5888939
