Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1254,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,926,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,562,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,469,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,618,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,284,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1377,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1079,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,951,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,873,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,570,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1741,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2268,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1943,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1058,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,955,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,580,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1636,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2318,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2018,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6308,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30772,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42068,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9322,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5424,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3855,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16082,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11108,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,938,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8129,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1256,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,312,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1908,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1830,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,963,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2948,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,558,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,590,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1147,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,463,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1536,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10492,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,321,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,368,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2559,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7874,0
