Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,135688
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,135564
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,135467
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,135280
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,135268
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,135118
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,135044
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148,134928
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,356,134799
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259,134692
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,134613
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,134487
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,134357
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,134326
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,134199
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,134083
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,477,133994
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,133952
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,133819
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,133687
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,133599
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,313,133480
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,133385
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143,133254
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,133170
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,503,133039
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,132918
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,132817
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,132720
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,132598
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,132492
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,132363
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,132271
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161,132147
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,132116
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274,132017
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,131915
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,131787
