Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,436,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1315,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,650,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1843,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2232,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1424,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,383,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,327,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1019,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2367,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2779,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2202,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,223,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1884,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,430,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,860,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1055,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,687,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1232,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,903,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3281,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,693,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,372,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1439,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,350,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,463,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,590,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,515,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2621,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1230,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1581,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2100,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,390,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1016,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1226,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,401,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1133,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,953,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,296,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1120,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,616,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1627,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1014,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,665,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,777,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1316,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2396,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4420,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3807,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1636,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3253,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5702,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,258,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1114,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1360,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1022,0
