Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,12672390
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,12672390
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,12672390
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,12672390
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,9504292
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30115,18859308
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8990,18859308
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20469,18859308
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11798,18854914
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2638,18848119
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6566,18848119
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5414,18848119
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22146,18848119
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19307,18848119
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37761,18851043
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9588,18841365
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20234,18841350
2018-05-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7615,21981574
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12799,18842821
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18569,18842821
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,62868,21983291
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26332,21983291
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20075,21984463
2018-05-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6091,18844883
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11191,21985696
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35450,21992363
