Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,375455
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,375425
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,375392
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,375334
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,375330
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,375304
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,375274
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,375242
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,375202
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,375169
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,375139
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,375107
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,375073
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,375050
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,375018
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,374980
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,374946
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,374915
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,374883
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,374851
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202,374810
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,374777
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,374746
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,374718
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,374284
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,374274
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
