Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,317982
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,317900
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,317819
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164,238247
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,238239
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,238177
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,238115
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,238052
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,237990
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,317236
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1381,317152
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1007,317069
2018-10-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,108,237739
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,237677
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,237615
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,237552
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,237490
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,237428
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,237366
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,237306
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,593,316327
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,237184
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,238,237128
2018-10-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,290,237074
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,219,237020
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225,236964
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,382,236913
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,236863
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,431,315739
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,236742
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,236682
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315,315494
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,315412
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,356,236499
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,236439
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,236376
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,236319
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,236258
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,236196
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,236135
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,236075
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,236013
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,314598
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,314520
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,314439
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,812,314358
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,289,314277
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,235647
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,235586
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,235527
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,530,235467
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,235410
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,235351
2018-09-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1907,235297
