Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,164385,22888079
2018-11-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,408614,22886532
2018-11-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,581904,23520793
2018-11-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,385227,23517771
2018-11-01 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1172670,23517545
2018-10-31 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,396841,22244795
2018-10-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,1430560,22878808
2018-10-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,702850,21606180
2018-10-28 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,395113,23510900
2018-10-27 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,609226,22238329
2018-10-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,252257,24777929
2018-10-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,371569,24140764
2018-10-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1625880,24774258
2018-10-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,357797,23502217
2018-10-22 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,444689,23500619
2018-10-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,368286,22864125
2018-10-20 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,1219880,23497839
2018-10-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,319808,21591348
2018-10-18 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,660217,22225012
2018-10-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1174530,22858476
2018-10-16 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,2476990,23491865
2018-10-15 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1203730,22220468
2018-10-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,527861,19679654
2018-10-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1103120,20947872
2018-10-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1106370,19042305
2018-10-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,569956,17771706
2018-10-10 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,476997,21578580
2018-10-09 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,520009,22211889
2018-10-08 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,171932,22210464
2018-10-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,123277,21574435
2018-10-06 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,509530,22207532
2018-10-05 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,406544,23474909
