Date,Open,High,Low,Close,Volume,MarketCap
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1058,85000
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1074,85000
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,85000
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,85000
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,85000
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,85000
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,85000
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,85000
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,85000
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,85000
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,85000
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263,85000
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,573,85000
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2682,85000
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32559,85000
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7002,85000
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,85000
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,85000
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,85000
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,85000
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,85000
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,85000
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,85000
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,209,85000
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,85000
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,493,85000
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,85000
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,85000
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1024,85000
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14442,85000
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,85000
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,85000
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,85000
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,85000
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,85000
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,85000
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,85000
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,85000
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,85000
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,85000
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,85000
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,85000
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,85000
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,85000
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,85000
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12266,85000
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,312,85000
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,85000
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,85000
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,85000
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,85000
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,85000
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,415,170000
