Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36636,2227405
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21488,2227372
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90038,2227338
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48956,2227277
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20306,2227273
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18278,2227240
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10931,2227206
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44374,2227172
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46863,2969461
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23038,2969422
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72886,2969385
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,580135,2969317
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99150,2226955
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23440,2226927
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8053,2226894
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2744,2226862
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23493,2226825
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15166,2226794
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14987,2226755
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13017,2226720
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15241,2226677
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22591,2226636
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21901,2226579
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22865,2226544
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29962,2226511
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38670,2226475
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33504,2968584
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66893,2968494
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,273499,2968439
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39198,2968389
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29098,2226244
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37526,2226200
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9522,2226163
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13154,2226087
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54002,2226050
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27171,2226017
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11621,2225982
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46415,2225946
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19372,2225912
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5894,2967839
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7239,2225847
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9882,2225815
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17825,2967699
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24302,2967650
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16281,2225686
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27445,2225654
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9382,2225624
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13060,2225577
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17741,2225548
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23694,2225513
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5095,2225481
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6710,2225449
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15765,2225406
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9008,2225376
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23769,2225346
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36148,2225298
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24740,2225242
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14969,2225202
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9914,2225175
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15212,2966859
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14435,2966820
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48659,2966780
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43265,3708425
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34642,2966699
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49666,2966654
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51961,2966609
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16475,2966553
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8229,2966480
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26150,2966435
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28978,2966395
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59104,2966356
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8386,2966295
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11658,2966254
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21992,2966211
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6831,2966162
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15959,2966116
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52215,2966068
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14168,2965955
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8194,2965909
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21780,2965866
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25945,2965824
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15255,2965776
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11438,2965734
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28366,2965688
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33138,2965628
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9895,2965584
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21954,2965539
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34588,2965495
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49284,3706811
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,31883,3706748
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33085,3706687
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65121,4447957
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41499,4447888
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37347,4447812
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,63664,4447722
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,141282,4447640
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,292977,5188822
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1084560,5188712
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1362230,5188595
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,120605,5188435
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,118891,5188344
