Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,4.9,5.1,4.6,4.8,16940,2712573
2018-11-04 00:00:00 +0000 UTC,4.9,5.0,4.6,4.9,23570,2740638
2018-11-03 00:00:00 +0000 UTC,5.1,5.1,4.9,4.9,4884,2768704
2018-11-02 00:00:00 +0000 UTC,5.7,5.7,4.9,5.1,8976,3167411
2018-11-01 00:00:00 +0000 UTC,5.2,5.7,4.9,5.7,18035,3189873
2018-10-31 00:00:00 +0000 UTC,5.5,5.8,4.9,5.2,30307,2892211
2018-10-30 00:00:00 +0000 UTC,4.0,6.0,3.8,5.5,39386,3088753
2018-10-29 00:00:00 +0000 UTC,4.3,4.3,3.7,4.0,2213,2240738
2018-10-28 00:00:00 +0000 UTC,4.3,4.3,4.2,4.3,929,2409202
2018-10-27 00:00:00 +0000 UTC,4.4,4.6,4.2,4.3,2367,2426036
2018-10-26 00:00:00 +0000 UTC,4.4,4.5,4.2,4.4,1749,2476565
2018-10-25 00:00:00 +0000 UTC,4.3,4.6,4.3,4.4,14344,2482168
2018-10-24 00:00:00 +0000 UTC,4.3,4.9,4.2,4.3,18635,2420381
2018-10-23 00:00:00 +0000 UTC,3.8,5.0,3.7,4.3,28847,2403521
2018-10-22 00:00:00 +0000 UTC,3.8,4.0,3.5,3.8,8224,2111493
2018-10-21 00:00:00 +0000 UTC,3.5,4.2,3.2,3.8,20716,2117098
2018-10-20 00:00:00 +0000 UTC,3.5,3.6,3.5,3.5,3387,1954233
2018-10-19 00:00:00 +0000 UTC,3.7,3.8,3.4,3.5,10569,1987916
2018-10-18 00:00:00 +0000 UTC,4.0,4.1,3.5,3.7,20839,2088986
2018-10-17 00:00:00 +0000 UTC,4.3,4.3,3.9,4.0,16613,2257440
2018-10-16 00:00:00 +0000 UTC,4.3,4.4,4.1,4.3,6076,2409046
2018-10-15 00:00:00 +0000 UTC,4.2,4.7,4.1,4.3,9272,2414648
2018-10-14 00:00:00 +0000 UTC,4.2,4.3,4.1,4.2,9648,2364096
2018-10-13 00:00:00 +0000 UTC,4.3,4.4,4.1,4.2,5059,2369699
2018-10-12 00:00:00 +0000 UTC,4.3,4.5,4.2,4.3,8055,2414608
2018-10-11 00:00:00 +0000 UTC,5.0,5.0,4.2,4.4,22503,2470749
2018-10-10 00:00:00 +0000 UTC,5.3,5.5,4.8,5.0,25934,2818884
2018-10-09 00:00:00 +0000 UTC,5.5,5.7,5.0,5.3,61730,2970481
2018-10-08 00:00:00 +0000 UTC,5.9,5.9,5.3,5.5,29550,3099615
2018-10-07 00:00:00 +0000 UTC,6.2,6.4,5.6,5.8,49527,3273669
2018-10-06 00:00:00 +0000 UTC,7.2,7.3,6.0,6.2,142457,3487028
2018-10-05 00:00:00 +0000 UTC,7.6,7.8,7.0,7.2,65754,4059754
2018-10-04 00:00:00 +0000 UTC,7.8,7.9,7.5,7.6,1629,4245030
2018-10-03 00:00:00 +0000 UTC,7.4,7.9,7.3,7.7,19390,4346078
2018-10-02 00:00:00 +0000 UTC,7.3,7.9,7.2,7.4,11092,4166372
2018-10-01 00:00:00 +0000 UTC,7.3,7.4,7.1,7.3,7079,4098968
2018-09-30 00:00:00 +0000 UTC,7.4,7.5,7.2,7.3,3729,4121405
2018-09-29 00:00:00 +0000 UTC,7.5,7.5,7.2,7.4,13326,4138227
2018-09-28 00:00:00 +0000 UTC,7.6,7.9,7.5,7.5,4250,4216813
2018-09-27 00:00:00 +0000 UTC,7.5,7.9,7.4,7.6,3498,4278553
2018-09-26 00:00:00 +0000 UTC,7.4,7.7,7.2,7.5,3160,4211150
2018-09-25 00:00:00 +0000 UTC,7.4,7.5,7.1,7.4,7060,4166208
2018-09-24 00:00:00 +0000 UTC,7.8,8.0,7.3,7.4,11596,4171799
2018-09-23 00:00:00 +0000 UTC,7.9,8.1,7.7,7.8,4533,4407596
2018-09-22 00:00:00 +0000 UTC,8.0,8.0,7.5,7.9,4362,4435644
2018-09-21 00:00:00 +0000 UTC,7.9,8.4,7.6,8.0,27898,4474922
2018-09-20 00:00:00 +0000 UTC,7.9,8.1,7.4,7.9,28582,4424364
2018-09-19 00:00:00 +0000 UTC,7.7,8.0,7.4,7.9,9434,4458026
2018-09-18 00:00:00 +0000 UTC,7.7,8.4,7.5,7.7,3602,4300791
2018-09-17 00:00:00 +0000 UTC,8.6,8.7,7.5,7.7,17898,4306368
2018-09-16 00:00:00 +0000 UTC,8.6,8.7,8.2,8.6,7201,4822895
2018-09-15 00:00:00 +0000 UTC,8.5,8.7,8.4,8.5,4922,4789180
2018-09-14 00:00:00 +0000 UTC,8.8,8.8,8.2,8.5,7368,4755465
2018-09-13 00:00:00 +0000 UTC,8.8,9.0,8.3,8.8,21770,4940715
2018-09-12 00:00:00 +0000 UTC,9.1,9.2,8.7,8.8,5675,4957529
2018-09-11 00:00:00 +0000 UTC,9.4,9.9,8.8,9.1,16757,5081017
2018-09-10 00:00:00 +0000 UTC,9.5,10.1,9.1,9.4,13717,5294332
2018-09-09 00:00:00 +0000 UTC,9.2,10.6,8.8,9.5,18186,5311144
2018-09-08 00:00:00 +0000 UTC,9.2,9.7,9.1,9.2,8848,5193214
2018-09-07 00:00:00 +0000 UTC,9.8,9.9,8.8,9.3,9437,5215640
2018-09-06 00:00:00 +0000 UTC,8.8,9.8,8.0,9.8,23514,5490706
2018-09-05 00:00:00 +0000 UTC,11.2,11.7,8.8,8.8,43222,4923641
2018-09-04 00:00:00 +0000 UTC,8.5,12.2,8.4,11.2,137057,6299079
2018-09-03 00:00:00 +0000 UTC,9.7,9.7,8.2,8.5,16897,4755159
2018-09-02 00:00:00 +0000 UTC,9.2,10.2,9.0,9.7,12203,5440049
2018-09-01 00:00:00 +0000 UTC,8.3,9.2,8.2,9.2,12925,5181771
2018-08-31 00:00:00 +0000 UTC,8.3,8.4,7.9,8.3,9264,4687706
2018-08-30 00:00:00 +0000 UTC,8.6,10.4,7.8,8.2,8497,4581012
2018-08-29 00:00:00 +0000 UTC,8.3,8.8,8.1,8.6,10184,4799929
2018-08-28 00:00:00 +0000 UTC,8.0,9.3,8.0,8.3,26827,4682008
2018-08-27 00:00:00 +0000 UTC,8.3,8.5,7.6,8.1,11336,4569703
2018-08-26 00:00:00 +0000 UTC,8.5,8.6,7.7,8.3,8785,4642655
2018-08-25 00:00:00 +0000 UTC,7.4,8.9,7.4,8.4,24263,4743676
2018-08-24 00:00:00 +0000 UTC,7.2,7.5,7.1,7.4,17031,4165428
2018-08-23 00:00:00 +0000 UTC,7.0,7.2,7.0,7.2,7328,4030673
2018-08-22 00:00:00 +0000 UTC,7.4,7.8,6.9,7.0,5374,3918374
2018-08-21 00:00:00 +0000 UTC,7.5,7.9,7.0,7.4,7869,4159738
2018-08-20 00:00:00 +0000 UTC,7.8,8.1,7.1,7.5,14736,4199009
