Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,37636,12156508
2018-11-04 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,56541,10279852
2018-11-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,31992,9806286
2018-11-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,11818,9794505
2018-11-01 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,13750,10027041
2018-10-31 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,21974,9321480
2018-10-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,14961,9548306
2018-10-29 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,10776,9542238
2018-10-28 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,19220,10233872
2018-10-27 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,13217,10227338
2018-10-26 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,26377,9755949
2018-10-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,11314,9285360
2018-10-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,36433,9511406
2018-10-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,23710,9273400
2018-10-22 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,20911,8804125
2018-10-21 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6575,8798444
2018-10-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5378,8792744
2018-10-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,12106,9018360
2018-10-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5130,8781724
2018-10-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,13183,9006933
2018-10-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,8716,8770153
2018-10-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,14067,8764757
2018-10-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,9371,8298126
2018-10-13 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,13039,8523542
2018-10-12 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,10905,8057403
2018-10-11 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,38624,8512146
2018-10-10 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,16397,9886130
2018-10-09 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,31461,9879702
2018-10-08 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,31710,10562244
2018-10-07 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,22263,9867081
2018-10-06 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,64899,10319445
2018-10-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,17586,11458725
2018-10-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,38838,11451325
2018-10-03 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,18708,11672778
2018-10-02 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,12835,12579848
2018-10-01 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,20970,12571873
2018-09-30 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,146095,12792192
2018-09-29 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,149103,12783904
2018-09-28 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,209402,13004151
2018-09-27 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,194424,13223623
2018-09-26 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,142018,12303549
2018-09-25 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,132739,12067994
2018-09-24 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,196117,13197465
2018-09-23 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,309786,14098800
2018-09-22 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,150741,13407573
2018-09-21 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,212459,13853283
2018-09-20 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,251532,13617150
2018-09-19 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,309095,14968569
2018-09-18 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,244168,13825589
2018-09-17 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,278481,14269752
2018-09-16 00:00:00 +0000 UTC,0.6,0.8,0.6,0.6,681028,14260019
2018-09-15 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,358662,14025237
2018-09-14 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,167742,10850928
2018-09-13 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,216882,10843488
2018-09-12 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,149535,9481647
2018-09-11 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,153153,9926642
2018-09-10 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,169486,10821624
2018-09-09 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,172027,10589241
2018-09-08 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,175662,9907018
2018-09-07 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,226826,10575658
2018-09-06 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,151300,9669195
2018-09-05 00:00:00 +0000 UTC,0.5,0.6,0.4,0.4,266001,9437820
2018-09-04 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,257681,11677354
2018-09-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,121428,9201118
2018-09-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,114931,8522108
2018-09-01 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,112367,8516598
2018-08-31 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,105404,8062992
2018-08-30 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,95068,7609676
2018-08-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,111205,7828205
2018-08-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,171259,8717378
2018-08-27 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,213979,7371359
2018-08-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,113819,6250272
2018-08-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,121540,6469074
2018-08-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,122123,6465028
2018-08-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,121986,6237728
2018-08-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,111920,6233752
2018-08-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,121709,6451949
2018-08-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,128682,6892060
2018-08-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,125677,7109520
2018-08-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,113963,6882884
2018-08-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,155698,7100080
2018-08-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,139763,6651840
2018-08-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,144731,6425878
2018-08-14 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,137719,5978516
2018-08-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,142967,5531850
2018-08-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,127042,6854829
2018-08-11 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,120026,7292241
2018-08-10 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,180004,7728963
2018-08-09 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,188832,7944138
2018-08-08 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,198341,8159166
2018-08-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,202384,9255351
2018-08-06 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,230918,9469525
2018-08-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,177595,10343337
2018-08-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,210918,10336687
2018-08-03 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,240260,10769147
2018-08-02 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,234347,11420916
2018-08-01 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,251324,12291160
2018-07-31 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,237454,12063123
2018-07-30 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,244652,13150830
2018-07-29 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,270808,12922859
2018-07-28 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,332382,13351985
2018-07-27 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,386847,14217158
2018-07-26 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,416965,13333624
2018-07-25 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,491820,14853410
2018-07-24 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,419873,13534073
2018-07-23 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,360113,13742285
2018-07-22 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,431160,13951328
2018-07-21 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,377056,13942016
2018-07-20 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,451243,13497028
2018-07-19 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,381424,13704863
2018-07-18 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,419164,13478118
2018-07-17 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,606729,14337543
2018-07-16 00:00:00 +0000 UTC,0.4,0.6,0.4,0.6,634961,13676450
2018-07-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,192598,9545096
2018-07-14 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,222433,9538518
2018-07-13 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,241652,9315370
2018-07-12 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,238597,9958287
2018-07-11 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,276501,10384416
2018-07-10 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,475087,10160742
2018-07-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,491560,10801725
2018-07-08 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,381250,10794450
2018-07-07 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,384319,10571236
2018-07-06 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,319413,10563910
2018-07-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,116707,11418082
2018-07-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,133525,11195158
2018-07-03 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,126269,11222601
2018-07-02 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,85844,14063488
2018-07-01 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,62622,10094424
2018-06-30 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,31785,10080670
2018-06-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,135128,9848070
2018-06-28 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,64725,10053208
2018-06-27 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,108892,9820575
2018-06-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,140447,10243697
2018-06-25 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,188682,10446288
2018-06-24 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,56754,9128658
2018-06-23 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,66884,10636136
2018-06-22 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,37451,10187955
2018-06-21 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,49193,11906070
2018-06-20 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,85361,12105744
2018-06-19 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,91724,11657196
