Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18178,2800000
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35579,2800000
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5655,2800000
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35948,2800000
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47426,2800000
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46252,2800000
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38496,2800000
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41114,2800000
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24578,2800000
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,266743,2800000
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151482,2800000
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,264552,2800000
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239486,2800000
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,908145,2800000
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116909,2100000
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127695,2100000
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138811,2100000
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121629,2100000
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121939,2100000
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129835,2100000
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131717,2100000
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128273,2100000
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121027,2100000
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130161,2100000
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,277595,2100000
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274099,2100000
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132816,2800000
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134656,2800000
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220982,2800000
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124006,2800000
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302965,2800000
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500057,2800000
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,638148,2800000
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,639226,2800000
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,368176,2800000
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252301,2800000
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151049,2800000
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,238589,2100000
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259651,2800000
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106167,2800000
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174350,2800000
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149391,2800000
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,406577,2800000
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84831,2800000
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86357,2800000
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,421382,2800000
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,600561,2800000
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1439380,2800000
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,682093,2800000
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,435061,2800000
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102850,2800000
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,511707,2100000
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,758532,2100000
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,443064,2100000
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81934,2100000
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151426,2100000
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,382427,2100000
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,472499,2100000
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,574573,2100000
