Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,3.9,4.0,3.9,3.9,101225000,346266576
2018-11-04 00:00:00 +0000 UTC,3.9,4.0,3.8,3.9,119367000,348037655
2018-11-03 00:00:00 +0000 UTC,3.9,3.9,3.8,3.9,86252500,345358024
2018-11-02 00:00:00 +0000 UTC,3.9,4.0,3.9,3.9,96776100,348010457
2018-11-01 00:00:00 +0000 UTC,3.8,4.1,3.8,3.9,87219700,345339167
2018-10-31 00:00:00 +0000 UTC,3.8,3.8,3.7,3.8,98360500,339099586
2018-10-30 00:00:00 +0000 UTC,3.8,3.8,3.7,3.8,80427900,334640376
2018-10-29 00:00:00 +0000 UTC,4.0,4.1,3.8,3.8,113153000,338191199
2018-10-28 00:00:00 +0000 UTC,4.0,4.1,4.0,4.1,72778700,361320934
2018-10-27 00:00:00 +0000 UTC,4.0,4.1,4.0,4.0,89441500,356861401
2018-10-26 00:00:00 +0000 UTC,4.1,4.1,4.0,4.0,83321700,356851905
2018-10-25 00:00:00 +0000 UTC,4.1,4.1,4.0,4.1,95673900,362181453
2018-10-24 00:00:00 +0000 UTC,4.2,4.3,4.1,4.1,87649100,368400682
2018-10-23 00:00:00 +0000 UTC,4.3,4.3,4.1,4.2,110726000,371060061
2018-10-22 00:00:00 +0000 UTC,4.2,4.6,4.2,4.3,173788000,387066532
2018-10-21 00:00:00 +0000 UTC,4.0,4.4,4.0,4.2,139581000,373709398
2018-10-20 00:00:00 +0000 UTC,3.8,4.0,3.8,4.0,89325200,353234926
2018-10-19 00:00:00 +0000 UTC,3.8,3.9,3.8,3.9,79328000,343438297
2018-10-18 00:00:00 +0000 UTC,4.0,4.0,3.8,3.8,93564600,338090803
2018-10-17 00:00:00 +0000 UTC,3.7,4.1,3.6,4.0,215470000,352316765
2018-10-16 00:00:00 +0000 UTC,3.7,3.7,3.6,3.6,59002000,322948366
2018-10-15 00:00:00 +0000 UTC,3.5,3.8,3.4,3.7,181912000,326498291
2018-10-14 00:00:00 +0000 UTC,3.5,3.5,3.5,3.5,66949400,307807468
2018-10-13 00:00:00 +0000 UTC,3.5,3.5,3.4,3.5,79992700,309578322
2018-10-12 00:00:00 +0000 UTC,3.4,3.5,3.4,3.5,110968000,309570026
2018-10-11 00:00:00 +0000 UTC,4.0,4.0,3.4,3.4,142871000,303334968
2018-10-10 00:00:00 +0000 UTC,3.8,4.1,3.8,4.0,155411000,353139869
2018-10-09 00:00:00 +0000 UTC,3.9,3.9,3.8,3.9,104168000,343346027
2018-10-08 00:00:00 +0000 UTC,3.8,3.9,3.8,3.9,115729000,346005324
2018-10-07 00:00:00 +0000 UTC,3.8,3.8,3.7,3.8,177728000,341548831
2018-10-06 00:00:00 +0000 UTC,3.8,3.8,3.7,3.8,138528000,333534855
2018-10-05 00:00:00 +0000 UTC,3.8,3.9,3.7,3.8,141122000,338862299
2018-10-04 00:00:00 +0000 UTC,3.8,4.0,3.8,3.8,168860000,334406218
2018-10-03 00:00:00 +0000 UTC,3.8,3.9,3.7,3.8,129606000,333507960
2018-10-02 00:00:00 +0000 UTC,3.8,4.0,3.8,3.9,128617000,349506863
2018-10-01 00:00:00 +0000 UTC,3.9,3.9,3.7,3.8,143550000,341493673
2018-09-30 00:00:00 +0000 UTC,3.9,3.9,3.8,3.9,160072000,345930916
2018-09-29 00:00:00 +0000 UTC,3.9,4.0,3.8,3.9,161854000,345032430
2018-09-28 00:00:00 +0000 UTC,4.0,4.0,3.8,3.9,198804000,345023289
2018-09-27 00:00:00 +0000 UTC,3.6,4.1,3.5,4.0,198894000,353906153
