Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67676,6300000
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21113,6300000
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41364,6300000
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28150,6300000
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39414,6300000
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38582,6300000
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56219,6300000
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108803,6300000
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70966,6300000
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123935,6300000
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68215,6300000
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170929,6300000
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96951,6300000
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69885,6300000
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52983,6300000
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6744,6300000
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23200,6300000
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36047,6300000
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84747,6300000
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23413,6300000
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46115,6300000
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126773,6300000
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38350,6300000
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22622,6300000
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80065,6300000
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182570,6300000
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33190,8400000
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21489,6300000
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57514,8400000
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12714,6300000
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10725,6300000
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38411,6300000
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47924,6300000
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141300,6300000
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33724,6300000
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44335,8400000
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14317,8400000
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15987,6300000
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18830,8400000
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8441,8400000
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29780,6300000
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34221,6300000
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18937,8400000
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47906,8400000
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29361,8400000
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168926,8400000
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110745,8400000
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119263,8400000
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,438451,8400000
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454069,6300000
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34621,6300000
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13914,6300000
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29387,6300000
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67351,6300000
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81430,6300000
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22856,6300000
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18160,6300000
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17412,6300000
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75474,6300000
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50131,6300000
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93446,6300000
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64144,6300000
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38891,8400000
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39255,8400000
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53138,8400000
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87738,8400000
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31583,8400000
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53821,8400000
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19513,8400000
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15358,8400000
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31264,6300000
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17215,6300000
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23848,6300000
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24128,6300000
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35339,6300000
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45285,6300000
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16317,6300000
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31503,6300000
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37888,6300000
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23489,6300000
