Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3121,3917532
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3004,3916526
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3167,3915520
2018-11-02 00:00:00 +0000 UTC,0.0,0.3,0.0,0.0,1161,5218177
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,620,5218009
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405,5216667
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,739,3911495
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,528,5213985
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,416,5212644
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,755,5211304
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,708,5209962
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3035,3906466
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3873,3905461
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1198,2602980
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4194,3903479
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3363,3902492
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3746,3901510
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2267,5200686
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1844,3899517
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290,6497537
2018-10-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,332,6495878
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439,6494217
2018-10-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,608,5194046
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,404,6490901
2018-10-12 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,33,14276342
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220,6487595
2018-10-10 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,773,6485935
2018-10-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,663,6484277
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,580,6482618
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2244,5184765
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,774,5183438
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1320,5182106
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1429,5180780
2018-10-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1664,6474301
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3074,5178104
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2869,5176768
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1702,3881580
2018-09-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1840,5174114
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1334,5172790
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,209,5171502
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,980,5170218
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,652,3876699
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1097,3875717
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,244,5166353
2018-09-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,163,7747553
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,347,5163712
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145,5162387
2018-09-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,299,5161065
2018-09-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2561,7739607
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1109,5158399
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,6446327
2018-09-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,181,6444653
2018-09-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,514,6442983
2018-09-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,377,7729593
2018-09-12 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,919,3863794
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,737,5150386
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,447,5149039
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3970,5147686
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,3859750
2018-09-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,98,5144980
2018-09-06 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,791,7715440
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1281,5142273
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2769,5140920
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1205,5139567
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1066,5138218
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3112,5136866
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,605,5135514
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,272,5134168
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,395,5132821
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4321,5131472
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3883,3847588
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1819,3846575
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,974,3845560
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,255,5126096
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,484,3843578
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1486,5123447
