Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,49905
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,49869
2018-11-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,59,49840
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,49787
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,49787
2018-10-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,18,49773
2018-10-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,109,49765
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,49744
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,49730
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,82,49716
2018-10-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,18,49687
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,80,49665
2018-10-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27,49665
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30,49636
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33,49622
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,49608
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38,49593
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,131,59486
2018-10-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,80,59442
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,449,59416
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,61,59390
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,142,59373
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,49463
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,49449
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,49434
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44,49420
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34,49384
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67,49348
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76,49312
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,83,59131
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26,68937
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,99,68887
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17,68833
2018-10-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,58973
2018-10-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37,68782
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24,68752
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18,68732
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30,68701
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41,68652
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,42,68652
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22,68652
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,68621
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,88,68611
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,68572
2018-09-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,68572
2018-09-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38,68542
2018-09-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48,68515
2018-09-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,184,68491
2018-09-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,202,68461
2018-09-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10,58655
2018-09-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57,58638
2018-09-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,68380
2018-09-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18,68370
2018-09-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9,58568
2018-09-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26,58551
2018-09-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74,58516
2018-09-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,68239
2018-09-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82,68229
2018-09-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29,68189
