Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1148,283164
2018-11-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2455,282816
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1386,225878
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,920,225135
2018-11-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,160,225081
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,366,224602
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,224232
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,448,223939
2018-10-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,689,279539
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1422,223283
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,707,278644
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,101,278270
2018-10-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,456,277941
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,169,277590
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2181,332685
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1428,276889
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,543,387154
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,283,386673
2018-10-18 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,730,606824
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1414,330593
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,514,385210
2018-10-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,972,824473
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2577,439202
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6494,548194
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1184,328440
2018-10-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2602,273389
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,218404
2018-10-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1028,218122
2018-10-08 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,440,272279
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,554,217500
2018-10-06 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1559,271499
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,600,216895
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1102,162445
2018-10-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,2878,162212
2018-10-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,3575,161936
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,107806
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,934,161481
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2088,161216
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,107327
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,850,160751
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,322,107019
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159,106863
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,106677
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,998,159805
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,314,159611
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290,106282
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,390,159204
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1371,158981
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150,105716
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,701,105390
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185,105129
