Date,Open,High,Low,Close,Volume,MarketCap
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,517,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,184,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1083,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,528,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,957,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,806,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,625,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,626,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,393,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1262,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,522,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,370,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,880,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3036,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1339,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,553,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,724,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,721,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,494,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,352,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,857,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1206,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4665,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6029,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15639,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2651,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3286,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,364,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,750,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2174,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,282,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3733,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1551,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1619,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461,0
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,513,0
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,0
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1352,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,649,0
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1789,0
