Date,Open,High,Low,Close,Volume,MarketCap
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,409,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,380,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1327,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,0
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,687,0
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,0
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,0
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,0
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,0
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
