Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,1,78311
2018-11-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,84,59876
2018-11-03 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,41,69076
2018-11-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27,50639
2018-11-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,318,50638
2018-10-31 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,146,64436
2018-10-30 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,519,78230
2018-10-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,50610
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,59802
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,844,59791
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,64378
2018-10-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,7,64366
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,54,68949
2018-10-23 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,64,82729
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,107,64333
2018-10-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,152,73511
2018-10-20 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,377,73497
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,15,68891
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8,73470
2018-10-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,34,73459
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,168,41313
2018-10-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,130,78023
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,485,59656
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,36,50471
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40,55049
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,50,50452
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,481,59615
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22,55024
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,160,55017
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,55005
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,36,45830
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,54989
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,54981
2018-10-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,54971
2018-10-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,609,50382
2018-10-01 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,172,82428
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,153,54942
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,45777
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,55,45770
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,109,45761
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7,45753
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,54,45744
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10,50311
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,41155
2018-09-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6,41116
2018-09-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11,50246
2018-09-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,106,50237
