Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2731670,138819352
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2512030,138819352
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1662780,138819352
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2446600,138819352
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5080500,138819352
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5030080,138819352
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1778390,138819352
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3010750,138819352
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3938350,138819352
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1260480,138819352
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1288450,138819352
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1297750,138819352
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1463620,138819352
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1768980,138819352
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1497940,138819352
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1129680,138819352
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1491370,138819352
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1276560,138819352
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1196610,138819352
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1411290,138819352
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1253910,138819352
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2486210,138819352
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1434460,104114514
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1481750,104114514
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1656530,138819352
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4277650,104114514
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4392190,138819352
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2713040,138819352
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4904160,138819352
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8205120,138819352
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2999720,138819352
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4904450,138819352
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2427290,138819352
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2900160,138819352
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4186520,138819352
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3005060,138819352
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3466890,138819352
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4635200,138819352
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5215060,138819352
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5457460,138819352
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12617300,138819352
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9607360,138819352
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11749400,138819352
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9032160,138819352
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7485380,138819352
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13080300,138819352
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10311400,138819352
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6051020,104114514
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6284960,104114514
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7047210,104114514
