Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,169785,14704593
2018-11-04 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,197881,14883634
2018-11-03 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,108211,14911517
2018-11-02 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,258300,14827208
2018-11-01 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,246541,14985037
2018-10-31 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,472716,14841145
2018-10-30 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,246053,14676654
2018-10-29 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,588550,14663392
2018-10-28 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,93088,14954329
2018-10-27 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,212290,14940130
2018-10-26 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,305652,14924682
2018-10-25 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,337129,15060835
2018-10-24 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,463751,15196800
2018-10-23 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,262397,15026548
2018-10-22 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,642430,15161195
2018-10-21 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,590453,15143331
2018-10-20 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,449461,15276645
2018-10-19 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,1762640,15108379
2018-10-18 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,791759,14939695
2018-10-17 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,1626940,15532326
2018-10-16 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,2184140,15668306
2018-10-15 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,1059130,15198945
2018-10-14 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,3865100,15335375
2018-10-13 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,888885,15027039
2018-10-12 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,1344760,15177547
2018-10-11 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,6659620,15463753
2018-10-10 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,1105620,14869261
2018-10-09 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,497698,15036167
2018-10-08 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,397944,14887547
2018-10-07 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,191175,14735707
2018-10-06 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,175313,14583870
2018-10-05 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,552994,14728258
