Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,54187000,4734529558
2018-11-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,57585400,4539255533
2018-11-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50502800,4539255533
2018-11-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,50452100,4160972341
2018-11-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,38696300,4160972341
2018-10-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,42791700,4160972341
2018-10-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,43111300,4350105142
2018-10-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,45544800,4160850903
2018-10-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,39381600,4345794419
2018-10-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,38499600,4345794419
2018-10-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,35741700,4345794419
2018-10-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,39745700,4534742002
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,39973400,4534742002
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,39384600,4534742002
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,40765500,4534417629
2018-10-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46623600,4534417521
2018-10-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,60012800,4534417641
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,45872300,4534417353
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,59461700,4533960693
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,74599800,4533879070
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,42468100,4344967373
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,71749600,4155936110
2018-10-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,36498700,3967029883
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46116600,3967029810
2018-10-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,48988300,4155935793
2018-10-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,75872400,3967029621
2018-10-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,40184400,4533748030
2018-10-09 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,40657100,4533425710
2018-10-08 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,41913600,4722156793
2018-10-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,33460000,4701706570
2018-10-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,34392600,4513638307
2018-10-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,38001100,4698706570
2018-10-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,36170200,4510108235
2018-10-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,47661800,4509716327
2018-10-02 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,50886900,4697621299
2018-10-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,67813900,4885389146
2018-09-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,64864600,4885388522
2018-09-29 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,54822100,4697488064
2018-09-28 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,63003000,4697487939
2018-09-27 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,99370800,4885386754
2018-09-26 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,89889500,4509587581
2018-09-25 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,118361000,4697486614
2018-09-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,135616000,4885248683
2018-09-23 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,317587000,5261036666
2018-09-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,76614200,4508499999
2018-09-21 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,182926000,4696353741
2018-09-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,89258100,4320645304
2018-09-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,48741100,3944936659
