Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,1059370,153576381
2018-11-04 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,940749,155555980
2018-11-03 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,955980,157535520
2018-11-02 00:00:00 +0000 UTC,1.6,1.7,1.6,1.6,2241810,155550137
2018-11-01 00:00:00 +0000 UTC,1.5,1.6,1.5,1.6,1011250,154559113
2018-10-31 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,830501,149603336
2018-10-30 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,684733,149601396
2018-10-29 00:00:00 +0000 UTC,1.6,1.7,1.5,1.5,1709380,149599441
2018-10-28 00:00:00 +0000 UTC,1.6,1.7,1.6,1.7,1362220,164458152
2018-10-27 00:00:00 +0000 UTC,1.7,1.8,1.6,1.6,2276840,161483901
2018-10-26 00:00:00 +0000 UTC,1.7,1.7,1.6,1.7,2046990,164453858
2018-10-25 00:00:00 +0000 UTC,1.7,1.8,1.7,1.7,7345320,167423719
2018-10-24 00:00:00 +0000 UTC,1.5,1.9,1.5,1.7,14170400,169402852
2018-10-23 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,1065410,150578337
2018-10-22 00:00:00 +0000 UTC,1.4,1.6,1.4,1.5,1775820,150576377
2018-10-21 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,384174,140668198
2018-10-20 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,509315,141656970
2018-10-19 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,488292,136702141
2018-10-18 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,804729,135709764
2018-10-17 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,742653,142641972
2018-10-16 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,625654,140659005
2018-10-15 00:00:00 +0000 UTC,1.3,1.5,1.3,1.5,1710060,144619331
2018-10-14 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,415497,132731083
2018-10-13 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,530050,134710378
2018-10-12 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,550768,131737103
2018-10-11 00:00:00 +0000 UTC,1.5,1.5,1.3,1.3,1313430,128763908
2018-10-10 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,806697,149562276
2018-10-09 00:00:00 +0000 UTC,1.5,1.6,1.5,1.5,791539,148569863
2018-10-08 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,616141,151539276
2018-10-07 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,556266,148565984
2018-10-06 00:00:00 +0000 UTC,1.6,1.6,1.5,1.5,1027220,147573623
2018-10-05 00:00:00 +0000 UTC,1.5,1.6,1.5,1.6,614767,153514176
2018-10-04 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,820845,150540963
2018-10-03 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,900844,146577439
2018-10-02 00:00:00 +0000 UTC,1.6,1.6,1.5,1.5,834508,152517781
2018-10-01 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,1162850,156477244
2018-09-30 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,960102,157465534
2018-09-29 00:00:00 +0000 UTC,1.6,1.7,1.5,1.6,1848550,160434494
2018-09-28 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,1057150,155480777
2018-09-27 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,3018540,158449679
2018-09-26 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,8302550,153496108
2018-09-25 00:00:00 +0000 UTC,1.6,1.6,1.4,1.6,1714550,154484395
2018-09-24 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,1872230,157453186
2018-09-23 00:00:00 +0000 UTC,1.5,1.6,1.5,1.6,1398680,156460872
2018-09-22 00:00:00 +0000 UTC,1.6,1.6,1.4,1.5,1496710,149527109
2018-09-21 00:00:00 +0000 UTC,1.4,1.6,1.4,1.6,3141680,156456786
2018-09-20 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,1428670,136650342
2018-09-19 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,1031420,130707328
2018-09-18 00:00:00 +0000 UTC,1.3,1.4,1.3,1.3,1412460,130705620
2018-09-17 00:00:00 +0000 UTC,1.4,1.4,1.3,1.3,1408390,125753002
2018-09-16 00:00:00 +0000 UTC,1.4,1.4,1.4,1.4,975599,138623554
2018-09-15 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,660045,140602051
2018-09-14 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,1284430,141590351
2018-09-13 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,1115180,137627979
