Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,1665,8335021
2018-11-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1219,9334821
2018-11-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1208,9001082
2018-11-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1208,10333391
2018-11-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,346,10333311
2018-10-31 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,167,10979554
2018-10-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,3728,11644200
2018-10-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1314,9647570
2018-10-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,89,10977818
2018-10-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6,10644685
2018-10-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,0,10644173
2018-10-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,164,10643325
2018-10-24 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,93,10642675
2018-10-23 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,8101,12637653
2018-10-22 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,1860,8313966
2018-10-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,12,8978737
2018-10-20 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,6,9310941
2018-10-19 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,1274,9310530
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1,6650141
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20,6649625
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,937,6649468
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1,7314026
2018-10-14 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,599,6981362
2018-10-13 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,343,5983767
2018-10-12 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1278,6980811
2018-10-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,59,6648162
2018-10-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1772,6647930
2018-10-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2343,6647692
2018-10-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1447,7976713
2018-10-07 00:00:00 +0000 UTC,0.3,0.4,0.2,0.2,3587,6646970
2018-10-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,5,9970060
2018-10-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8,10966583
2018-10-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,21,8640002
2018-10-03 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,6026,10633376
2018-10-02 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,466,10632944
2018-10-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,668,7309759
2018-09-30 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,525,7641515
2018-09-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1,10298994
2018-09-28 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,673,10630491
2018-09-27 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,32,12290809
2018-09-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,263,11958104
2018-09-25 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1929,11957643
2018-09-24 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1958,11957239
2018-09-23 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,832,11955482
2018-09-22 00:00:00 +0000 UTC,0.3,0.4,0.2,0.4,27961,12617875
2018-09-21 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,3250,10957130
2018-09-20 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1302,13944807
2018-09-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,20,11951631
2018-09-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,90,11951587
2018-09-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,741,11619299
2018-09-16 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,391,11950775
2018-09-15 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,13,11950197
