Date,Open,High,Low,Close,Volume,MarketCap
2018-10-18 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,44,0
2018-10-17 00:00:00 +0000 UTC,0.3,0.7,0.3,0.7,44,0
2018-10-16 00:00:00 +0000 UTC,0.7,0.8,0.3,0.3,3,0
2018-10-15 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,1,0
2018-10-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3,0
2018-10-13 00:00:00 +0000 UTC,0.7,0.7,0.3,0.3,3,0
2018-10-12 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,34,0
2018-10-03 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,30,0
2018-10-02 00:00:00 +0000 UTC,0.6,0.7,0.6,0.7,40,0
2018-09-29 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,26,0
2018-09-28 00:00:00 +0000 UTC,0.3,0.8,0.3,0.8,61,0
2018-09-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10,0
2018-09-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,10,0
2018-09-22 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,0,0
2018-09-21 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,0,0
2018-09-19 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,0,0
2018-09-18 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,4,0
2018-09-17 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,1,0
2018-09-15 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,1,0
2018-09-14 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,3,0
2018-09-13 00:00:00 +0000 UTC,0.5,0.7,0.5,0.7,137,0
2018-09-12 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,12,0
2018-09-11 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,3,0
2018-09-10 00:00:00 +0000 UTC,0.5,0.7,0.5,0.7,7,0
2018-09-09 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,1,0
2018-09-08 00:00:00 +0000 UTC,0.5,0.7,0.5,0.7,1,0
2018-09-07 00:00:00 +0000 UTC,0.5,0.7,0.5,0.5,4,0
2018-09-06 00:00:00 +0000 UTC,0.8,0.8,0.5,0.5,1,0
2018-09-05 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,1,0
2018-09-04 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,42,0
2018-09-03 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,126,0
2018-09-02 00:00:00 +0000 UTC,1.2,1.3,0.8,0.8,59,0
2018-09-01 00:00:00 +0000 UTC,1.2,1.2,0.8,1.2,989,0
2018-08-31 00:00:00 +0000 UTC,1.6,1.6,1.2,1.2,49,0
2018-08-30 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,29,0
2018-08-29 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,30,0
2018-08-28 00:00:00 +0000 UTC,1.6,1.7,0.8,0.8,16,0
2018-08-27 00:00:00 +0000 UTC,0.8,1.7,0.8,1.7,181,0
2018-08-26 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,4,0
2018-08-25 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,4,0
2018-08-23 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,104,0
2018-08-22 00:00:00 +0000 UTC,0.5,0.7,0.5,0.7,102,0
2018-08-21 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,24,0
2018-08-17 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,1,0
2018-08-16 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,1,0
2018-08-15 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,6,0
2018-08-14 00:00:00 +0000 UTC,0.5,0.7,0.5,0.7,125,0
2018-08-12 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,79,0
2018-08-11 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,161,0
2018-08-10 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,23,0
2018-08-09 00:00:00 +0000 UTC,1.3,1.3,0.5,0.5,199,0
2018-08-08 00:00:00 +0000 UTC,0.6,1.9,0.6,1.3,729,0
2018-08-07 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,5,0
2018-08-06 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,145,0
2018-08-05 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,16,0
2018-08-04 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,1,0
2018-08-03 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,1,0
2018-08-02 00:00:00 +0000 UTC,0.8,0.8,0.6,0.6,40,0
2018-08-01 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,5,0
2018-07-31 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,173,0
2018-07-25 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,4,0
2018-07-24 00:00:00 +0000 UTC,0.8,1.4,0.8,0.9,15,0
2018-07-23 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,44,0
2018-07-22 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,8,0
2018-07-18 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,10,0
2018-07-17 00:00:00 +0000 UTC,1.1,1.3,1.1,1.2,30,0
