Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,435,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,367,904219
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369,904219
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,353,904219
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,364,904219
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,904219
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,904219
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,428,904219
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,596,904219
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,593,904219
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,592,904219
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,574,904219
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,573,904219
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,904219
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,445,904219
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,490,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,428,904219
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,904219
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,450,904219
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,490,904219
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,481,904219
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,419,904219
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,410,904219
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,364,904219
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,904219
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,904219
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,904219
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,904219
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,904219
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,904219
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,904219
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,904219
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,904219
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,904219
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,904219
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,904219
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,904219
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,904219
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,904219
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,904219
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,904219
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,0
