Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1457,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1310,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,753,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,420,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,676,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1061,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1006,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1064,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,798,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2272,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1015,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4612,0
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,17126,0
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,22458,0
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,937,0
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,264,0
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,614,0
2018-10-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1052,0
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2501,0
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,739,0
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,593,0
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,430,0
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1765,0
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,704,0
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,703,0
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4635,0
2018-10-09 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,10008,0
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1503,0
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1286,0
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4702,0
2018-10-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,7147,0
2018-10-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1354,0
2018-10-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,10967,0
2018-10-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,8535,0
2018-10-01 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,18924,0
2018-09-30 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,21908,0
2018-09-29 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,10698,0
2018-09-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,23588,0
2018-09-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,24910,0
2018-09-26 00:00:00 +0000 UTC,0.4,0.6,0.3,0.3,118125,0
2018-09-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,10941,0
2018-09-24 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,64735,0
2018-09-23 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,4175,0
2018-09-22 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,751,0
