Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,978,1476320
2018-11-04 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,897,1579319
2018-11-03 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,903,1441987
2018-11-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,1301,1510653
2018-11-01 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,1043,1510653
2018-10-31 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,268,1544986
2018-10-30 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,616,1579319
2018-10-29 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,772,1613652
2018-10-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,495,1647985
2018-10-27 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,960,1579319
2018-10-26 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1025,1682318
2018-10-25 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,1261,1613652
2018-10-24 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,2292,1613652
2018-10-23 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,3720,1613652
2018-10-22 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,3197,1716651
2018-10-21 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,10136,1785317
2018-10-20 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,806,1579319
2018-10-19 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,632,1476320
2018-10-18 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,1942,1510653
2018-10-17 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,817,1647985
2018-10-16 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,521,1578859
2018-10-15 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,3446,1544536
2018-10-14 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,266,1372921
2018-10-13 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,606,1750474
2018-10-12 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,13174,1716151
2018-10-11 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,1145,1716151
2018-10-10 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,22246,1922089
2018-10-09 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,100090,1956412
