Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,49.7,52.1,46.6,47.0,15751,9379350
2018-11-04 00:00:00 +0000 UTC,54.8,54.8,49.6,49.8,2917,9929662
2018-11-03 00:00:00 +0000 UTC,52.0,54.8,50.6,54.8,12502,10934735
2018-11-02 00:00:00 +0000 UTC,55.8,55.8,50.8,52.0,5244,10635057
2018-11-01 00:00:00 +0000 UTC,62.3,64.7,54.7,55.8,13245,11135668
2018-10-31 00:00:00 +0000 UTC,50.3,86.0,50.0,62.3,31602,12417868
2018-10-30 00:00:00 +0000 UTC,50.8,50.8,49.9,50.2,4442,10018222
2018-10-29 00:00:00 +0000 UTC,60.4,60.7,50.4,50.8,13339,10125691
2018-10-28 00:00:00 +0000 UTC,64.3,64.7,60.1,60.7,12339,12101871
2018-10-27 00:00:00 +0000 UTC,65.7,66.7,64.0,64.0,1348,12763701
2018-10-26 00:00:00 +0000 UTC,71.2,71.7,65.5,65.9,6656,13148288
2018-10-25 00:00:00 +0000 UTC,71.5,73.8,71.0,71.3,3272,14222875
2018-10-24 00:00:00 +0000 UTC,72.7,73.3,71.4,71.5,1081,14256423
2018-10-23 00:00:00 +0000 UTC,71.8,86.8,71.2,73.0,12745,14553210
2018-10-22 00:00:00 +0000 UTC,73.3,73.5,70.9,71.8,346,14309586
2018-10-21 00:00:00 +0000 UTC,72.1,74.0,71.4,73.4,707,14628285
2018-10-20 00:00:00 +0000 UTC,72.2,73.1,71.6,72.1,1083,14368718
2018-10-19 00:00:00 +0000 UTC,74.8,74.9,72.0,72.4,715,14434172
2018-10-18 00:00:00 +0000 UTC,76.3,76.3,73.2,74.9,3154,14926334
2018-10-17 00:00:00 +0000 UTC,75.6,76.4,74.1,76.0,3667,15159251
2018-10-16 00:00:00 +0000 UTC,76.3,77.0,74.8,75.4,4741,15035264
2018-10-15 00:00:00 +0000 UTC,60.6,76.9,59.5,76.2,49368,15202383
2018-10-14 00:00:00 +0000 UTC,60.2,61.3,60.1,60.6,1612,12081870
2018-10-13 00:00:00 +0000 UTC,61.0,61.1,59.8,60.2,1342,12009803
2018-10-12 00:00:00 +0000 UTC,60.9,61.1,59.9,61.0,631,12163025
2018-10-11 00:00:00 +0000 UTC,62.7,63.1,59.9,61.0,5772,12158748
2018-10-10 00:00:00 +0000 UTC,69.2,69.2,62.5,62.8,5643,12509319
2018-10-09 00:00:00 +0000 UTC,65.8,70.1,64.7,69.4,4023,13828693
2018-10-08 00:00:00 +0000 UTC,71.9,72.0,63.4,65.6,50380,13078840
2018-10-07 00:00:00 +0000 UTC,76.1,76.2,71.7,71.8,11378,14302455
2018-10-06 00:00:00 +0000 UTC,77.3,77.9,72.2,75.9,9808,15123365
2018-10-05 00:00:00 +0000 UTC,78.3,79.0,76.3,77.2,7876,15378137
2018-10-04 00:00:00 +0000 UTC,78.7,79.5,77.5,78.1,5873,15575108
2018-10-03 00:00:00 +0000 UTC,80.4,80.5,78.3,78.6,6882,15662423
2018-10-02 00:00:00 +0000 UTC,80.7,81.0,80.0,80.4,643,16030780
2018-10-01 00:00:00 +0000 UTC,81.0,81.8,80.5,80.8,2642,16096169
2018-09-30 00:00:00 +0000 UTC,81.8,81.8,80.2,81.2,3726,16191452
2018-09-29 00:00:00 +0000 UTC,81.3,81.8,80.2,81.7,6755,16280746
2018-09-28 00:00:00 +0000 UTC,82.2,83.0,81.0,81.3,6047,16198710
2018-09-27 00:00:00 +0000 UTC,82.4,82.7,81.3,82.3,6446,16393644
2018-09-26 00:00:00 +0000 UTC,82.5,83.3,81.6,82.3,14933,16403209
2018-09-25 00:00:00 +0000 UTC,86.4,86.6,80.6,82.6,93247,16454625
2018-09-24 00:00:00 +0000 UTC,88.7,89.5,84.8,86.4,36852,17225434
2018-09-23 00:00:00 +0000 UTC,88.0,89.5,86.2,88.7,25431,17671394
2018-09-22 00:00:00 +0000 UTC,88.8,89.2,86.5,87.8,5641,17497611
2018-09-21 00:00:00 +0000 UTC,87.9,90.8,87.1,88.7,9912,17676520
2018-09-20 00:00:00 +0000 UTC,88.1,89.7,86.9,88.0,12157,17528651
2018-09-19 00:00:00 +0000 UTC,88.1,89.3,87.1,88.1,9521,17548143
