Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,619737,1500000
2018-11-04 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,596619,1500000
2018-11-03 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,658288,1500000
2018-11-02 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,619085,1700000
2018-11-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,634485,1600000
2018-10-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,617514,1700000
2018-10-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,564276,1700000
2018-10-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,645424,1800000
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,681228,1500000
2018-10-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,363870,1400000
2018-10-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,670120,1600000
2018-10-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,663530,1800000
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,527322,2100000
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,744487,2000000
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,704717,1800000
2018-10-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,738288,1900000
2018-10-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,682433,1800000
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,649993,2100000
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,713861,1700000
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,699172,2000000
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,776157,2100000
2018-10-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,699271,1500000
2018-10-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,535864,1500000
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,493215,1900000
2018-10-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,430341,1800000
2018-10-11 00:00:00 +0000 UTC,0.1,0.3,0.1,0.2,505886,2300000
2018-10-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,560462,1200000
2018-10-09 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,553965,2300000
2018-10-08 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,596285,2100000
2018-10-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,549327,2300000
2018-10-06 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,583816,2200000
2018-10-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,587125,1700000
2018-10-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,535673,1800000
2018-10-03 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,527684,2000000
2018-10-02 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,533524,2900000
2018-10-01 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,549154,2600000
2018-09-30 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,553215,3000000
2018-09-29 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,549301,2600000
2018-09-28 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,547263,2500000
2018-09-27 00:00:00 +0000 UTC,0.3,0.4,0.2,0.3,570462,3300000
2018-09-26 00:00:00 +0000 UTC,0.3,0.4,0.2,0.3,574490,2600000
2018-09-25 00:00:00 +0000 UTC,0.4,0.4,0.2,0.4,589038,3600000
2018-09-24 00:00:00 +0000 UTC,0.5,0.5,0.3,0.4,139419,4400000
2018-09-23 00:00:00 +0000 UTC,0.3,0.5,0.3,0.5,346745,4700000
2018-09-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,417433,3000000
2018-09-21 00:00:00 +0000 UTC,0.5,0.5,0.3,0.3,357449,3000000
2018-09-20 00:00:00 +0000 UTC,0.6,0.6,0.3,0.5,338241,5200000
