Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,331,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,548,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,294,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,273,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1464,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,229,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,171,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,484,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3892,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,510,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1093,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1282,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16733,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6543,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4619,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4433,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9229,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63066,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5807,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3978,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3756,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5913,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6346,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12292,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16473,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5704,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5975,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14166,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16362,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3217,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47376,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10101,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3997,0
