Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,562464
2018-11-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,482112
2018-11-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,482112
2018-11-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,482112
2018-11-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,56,482112
2018-10-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6283,562464
2018-10-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39,482112
2018-10-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40,482112
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,142,642815
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,126,562464
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3330,482112
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1037,562464
2018-10-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,11834,562464
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,401760
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,401760
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,401760
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,401760
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,401760
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,401760
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,401760
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,401760
2018-10-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,13,401760
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,401760
