Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1429490,8995239
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1721180,11993652
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3965470,11993652
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17583200,11993652
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4643370,11993652
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6067680,11993652
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2578050,8995239
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1951050,8995239
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1073280,8995239
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1537640,8995239
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1331990,8995239
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,895974,8995239
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,663452,8995267
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1124910,8995267
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,979880,8995267
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,684052,8995267
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,671750,8995267
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,387355,8995267
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,581540,8995267
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,978344,8995267
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,403634,8995267
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,768889,8995267
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,729067,8995267
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,695733,8995267
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,472920,8995267
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1234250,8995267
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,853529,8755267
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2055650,8755267
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1907770,11673690
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3941340,8755267
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2400790,8755267
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,915007,8755267
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3402240,8755267
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,972038,8755267
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,477950,8755267
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164100,8755267
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,244208,8755267
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,360034,8755267
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,738991,8755267
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2318270,8755267
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,354437,8755267
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,513108,8755267
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,391322,8755267
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1338980,8755267
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,672128,8755267
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454184,8755267
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411458,5836845
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,495774,5836845
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,804791,5836845
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1686660,5836845
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1449210,5836865
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160306,5836865
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236624,5836865
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,488969,5836865
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241935,5836865
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285245,5836865
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274929,5836869
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,280789,5836869
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,387007,5836869
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249566,5836869
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,350897,5836869
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,655840,5836869
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,878029,8755303
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,338440,8755303
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,482573,8755303
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,856319,8755303
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299058,8755303
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,550367,8755303
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,686533,8755303
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,989602,8755303
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,533873,8395303
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,576156,8395303
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,942432,8395303
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1765400,8395303
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3399780,8395303
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4402500,8365303
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3701060,8365303
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2234670,8365303
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1705050,8275303
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1905620,5516869
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2786060,8275303
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1565250,5516869
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2119520,5516869
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,568086,5516869
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,877209,5516869
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,508764,5516869
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,642636,8275303
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,588594,8275303
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,438619,8275303
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1005760,8275303
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2579520,8275303
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222048,8195203
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249641,8195203
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251155,8195203
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,479867,8195203
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,400317,10926938
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,483785,10926938
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,284850,10926938
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,596892,13658672
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1363850,13658672
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,494485,13658672
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,123118,13658672
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,304710,13658672
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,415089,13658672
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,276939,13658672
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,207519,13658672
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,132942,13658672
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,270410,13658672
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,175511,13658672
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,337502,16390407
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,432993,16390407
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,484356,16390407
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,250246,16390407
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,154093,13658672
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,213481,13658672
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,572801,13658672
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,297611,13658672
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,273236,13658672
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,600554,16390407
