Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,13.8,14.4,13.6,14.2,1591280,72142481
2018-11-04 00:00:00 +0000 UTC,13.9,14.2,13.6,13.8,1024670,70058898
2018-11-03 00:00:00 +0000 UTC,14.2,14.4,13.4,13.9,1356640,70570995
2018-11-02 00:00:00 +0000 UTC,14.6,14.8,14.2,14.2,1123450,73724924
2018-11-01 00:00:00 +0000 UTC,13.7,18.3,13.5,14.6,9617280,73663194
2018-10-31 00:00:00 +0000 UTC,13.2,13.6,13.1,13.6,616269,68551563
2018-10-30 00:00:00 +0000 UTC,13.3,13.8,13.2,13.2,2230190,66586747
2018-10-29 00:00:00 +0000 UTC,14.2,14.6,13.2,13.3,687360,67299686
2018-10-28 00:00:00 +0000 UTC,14.4,14.5,14.1,14.3,420620,71784662
2018-10-27 00:00:00 +0000 UTC,13.6,15.1,13.6,14.4,1778330,72235655
2018-10-26 00:00:00 +0000 UTC,14.1,14.2,13.4,13.6,528082,68268430
2018-10-25 00:00:00 +0000 UTC,14.0,14.3,13.6,14.1,488352,70876750
2018-10-24 00:00:00 +0000 UTC,13.6,14.6,13.6,14.0,871369,70124954
2018-10-23 00:00:00 +0000 UTC,13.8,14.0,13.4,13.7,643672,68275924
2018-10-22 00:00:00 +0000 UTC,13.8,13.9,13.4,13.8,432708,69024666
2018-10-21 00:00:00 +0000 UTC,14.0,14.3,13.7,13.9,391871,69177400
2018-10-20 00:00:00 +0000 UTC,13.3,15.0,13.3,14.0,1514380,69675375
2018-10-19 00:00:00 +0000 UTC,13.2,13.4,13.1,13.3,379737,66146873
2018-10-18 00:00:00 +0000 UTC,14.0,14.0,13.1,13.2,579165,65604746
2018-10-17 00:00:00 +0000 UTC,14.0,14.9,13.8,13.9,1165580,68977428
2018-10-16 00:00:00 +0000 UTC,13.3,14.1,13.0,14.0,903608,69419914
2018-10-15 00:00:00 +0000 UTC,13.3,14.5,13.2,13.3,814777,65961683
2018-10-14 00:00:00 +0000 UTC,13.4,13.7,13.3,13.3,303955,65620371
2018-10-13 00:00:00 +0000 UTC,13.5,13.7,13.3,13.4,266669,65970019
2018-10-12 00:00:00 +0000 UTC,13.4,13.8,13.3,13.5,352377,66511978
2018-10-11 00:00:00 +0000 UTC,15.7,15.7,13.5,13.6,596562,66564036
2018-10-10 00:00:00 +0000 UTC,15.8,16.1,15.5,15.7,546891,77160369
2018-10-09 00:00:00 +0000 UTC,16.1,16.2,15.7,15.9,303764,77731855
2018-10-08 00:00:00 +0000 UTC,16.1,16.3,15.7,16.1,475959,78694782
2018-10-07 00:00:00 +0000 UTC,16.2,16.2,15.7,16.1,295817,78531303
2018-10-06 00:00:00 +0000 UTC,16.3,16.4,16.0,16.2,249037,78808078
2018-10-05 00:00:00 +0000 UTC,16.3,16.4,16.1,16.3,272304,79420526
2018-10-04 00:00:00 +0000 UTC,16.1,16.6,16.1,16.3,417971,79108604
2018-10-03 00:00:00 +0000 UTC,16.8,16.8,16.0,16.1,340618,78168519
2018-10-02 00:00:00 +0000 UTC,17.0,17.1,16.6,16.8,479981,81204838
2018-10-01 00:00:00 +0000 UTC,16.2,19.2,16.2,17.1,2384490,82875566
2018-09-30 00:00:00 +0000 UTC,16.8,16.8,16.0,16.2,380626,78403020
2018-09-29 00:00:00 +0000 UTC,16.7,17.0,16.1,16.8,516443,81278260
2018-09-28 00:00:00 +0000 UTC,16.5,17.1,16.4,16.6,558023,80146206
2018-09-27 00:00:00 +0000 UTC,16.0,16.6,15.8,16.5,445645,79254875
