Date,Open,High,Low,Close,Volume,MarketCap
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,927223
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,927223
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,741779
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,741779
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,741779
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,474,741779
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,741779
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,741779
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,741779
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,741779
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413,741674
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,5958,741455
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,471,1297193
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1892,1296805
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,649,926018
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,247,1110887
2018-10-12 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,372,925476
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,393,740163
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,5617,739933
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2201,1109549
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1837,1478947
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2839,1478458
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5815,1662781
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6298,1477582
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5953,1476878
2018-10-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3578,1476716
2018-10-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16568,1476279
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8148,1660337
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3949,1844235
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10651,1659336
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,34755,1843131
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12330,1474060
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7169,1289420
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,16917,1104889
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,6914,920453
2018-09-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,61713,920185
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22290,919901
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2715,735709
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2101,735485
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2362,735094
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3425,734876
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1967,734670
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1012,918060
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1682,734219
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2167,733996
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1927,733776
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4137,733562
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2093,733327
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2535,733106
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2488,732879
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5264,732660
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6246,732259
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1555,915040
2018-09-05 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1750,914763
2018-09-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3129,914493
2018-09-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,11509,914216
