Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,134832,1148388
2018-08-29 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,111576,1149780
2018-08-28 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,168237,1145211
2018-08-27 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,130974,1148001
2018-08-26 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,93302,1150267
2018-08-25 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,136663,1150797
2018-08-24 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,158568,1141286
2018-08-23 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,67880,1150240
2018-08-22 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,76994,1154660
2018-08-21 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,35291,1146837
2018-08-20 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,21943,1155258
2018-08-19 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,68602,1156401
2018-08-18 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,12203,1148929
2018-08-17 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,69381,1141307
2018-08-16 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,38224,1156417
2018-08-15 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,10035,1141852
2018-08-14 00:00:00 +0000 UTC,1.0,1.0,0.8,1.0,33268,1151760
2018-08-13 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,34474,1154842
2018-08-12 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,46775,1160270
2018-08-11 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,83977,1153312
2018-08-10 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,57891,1155896
2018-08-09 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,40074,1154291
2018-08-08 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,119406,1141376
2018-08-07 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,39786,1156130
2018-08-06 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,8904,0
2018-08-05 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,2841,0
2018-08-04 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,6293,0
2018-08-03 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,7015,0
2018-08-02 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,4765,0
2018-08-01 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,12680,0
2018-07-31 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,6866,0
2018-07-30 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,5345,0
2018-07-29 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,35068,0
2018-07-28 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,22539,0
2018-07-27 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,43837,0
2018-07-26 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,3605,0
2018-07-25 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,62103,0
2018-07-24 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,17893,0
2018-07-23 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,4697,0
2018-07-22 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,7731,0
2018-07-21 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,14394,0
2018-07-20 00:00:00 +0000 UTC,1.0,1.0,0.6,1.0,112531,0
2018-07-19 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,37717,0
2018-07-18 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,142696,0
2018-07-17 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,14597,0
2018-07-16 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,41602,0
2018-07-15 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,74221,0
2018-07-14 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,209686,0
2018-07-13 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,158628,0
