Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,209,65868
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,60277
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,493,64374
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,74243
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,91966
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1024,91100
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14442,55601
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,48675
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,49612
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,53378
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,66036
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,65317
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,78423
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,75197
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87,85336
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,79010
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,79869
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,85999
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,91126
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,88985
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,94493
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,106803
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12266,97191
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,312,106163
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,101894
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,101351
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,107256
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,115386
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285,129407
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,415,118525
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,287,132055
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,132742
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,132736
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307,138915
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,141901
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,166697
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,161811
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,163980
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112,150867
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1521,169897
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278,168318
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,177840
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,175458
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,322,168102
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,858,165968
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,617,162270
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2058,143794
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500,143137
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,153881
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,141215
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,474,150394
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,152906
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,159631
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,160854
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,162674
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,214,161098
