Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,140190,53156380
2018-08-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,46920,53595457
2018-08-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,26327,52427993
2018-08-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,108277,56068057
2018-08-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8438,50322154
2018-08-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,76306,47240723
2018-08-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,46921,47159850
2018-08-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,7578,46826568
2018-08-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,72258,54564120
2018-08-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,41187,48859146
2018-08-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8450,50796600
2018-08-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,11502,51792711
2018-08-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,64962,56060357
2018-08-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,19997,54680213
2018-08-16 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,23284,46416703
2018-08-15 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,43407,36793590
2018-08-14 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,186333,48391147
2018-08-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,41815,52723898
2018-08-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,214464,57204688
2018-08-11 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,92513,65169260
2018-08-10 00:00:00 +0000 UTC,0.5,0.5,0.4,0.4,80174,81460890
2018-08-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,88078,84874228
2018-08-08 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,307766,85430404
2018-08-07 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,131463,91278282
2018-08-06 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,79786,94811318
2018-08-05 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,19697,90725040
2018-08-04 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,27538,90075574
2018-08-03 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,12512,91522150
2018-08-02 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,205664,84079203
2018-08-01 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,135088,82906522
2018-07-31 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,250766,80840473
2018-07-30 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,7950990,80926817
2018-07-29 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,5408420,80416616
2018-07-28 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,5137670,84226280
2018-07-27 00:00:00 +0000 UTC,0.4,0.5,0.4,0.5,7623480,70548840
2018-07-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6526980,70239136
2018-07-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,14872000,76217392
2018-07-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,23627200,76555048
2018-07-23 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,13016000,73383408
2018-07-22 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,4680390,77310016
