Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,472250,7739369
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,440600,7645582
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,442130,7435464
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,423617,7140710
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,374833,7214352
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,415526,7215748
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,406263,7130627
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,376732,6987497
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,408174,7190304
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,422486,7109847
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,465926,7615138
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,474362,7632986
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,454128,8082264
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,474746,7464019
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,430327,7341851
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,413620,7175235
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,551132,7496660
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,508997,8016194
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,503694,7951351
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,689174,8193768
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,587209,8828301
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,520586,8573470
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,625365,9314898
