Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37284,15174936
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51651,15621098
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46719,15086284
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50412,14287275
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23445,14506320
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26683,15415892
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52677,14882447
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35095,14674404
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37598,14968040
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51997,14654136
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31597,15288810
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100412,15875310
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36305,16821848
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30180,16229063
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62197,15257320
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42821,15092124
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59074,15940613
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60161,15668344
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40959,16380396
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52870,15961381
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37519,17142745
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69604,15498385
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117623,15362599
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115694,15696422
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118097,15715195
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91456,16627642
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33892,17605585
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52557,17911647
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65168,19109767
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,463460,18318467
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114725,18192131
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131531,19776308
