Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103516,1199088
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151026,1211456
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161065,1612368
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237040,1260278
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130092,1287252
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,175983,1647993
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,238850,1630155
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192639,1700126
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88102,1500617
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145992,1789124
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190270,1275536
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191210,1122629
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177785,667442
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121698,693584
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92929,674957
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84258,676959
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192991,685837
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52470,371753
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142169,704291
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147716,694362
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97496,740098
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,178413,675767
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51898,734296
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24183,645482
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18498,414088
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15157,392464
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15926,503147
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10154,362964
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16373,425669
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10218,475684
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11447,550233
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5048,483665
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15773,712562
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9636,482260
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16017,668402
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6429,451903
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25462,856773
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36491,755231
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38156,725003
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38450,1034648
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32396,1189636
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37238,1316471
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57728,1604619
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22750,1444212
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56487,1526470
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52032,1317691
