Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,21089,16816456
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,18830,17125275
2018-08-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,4384,8815918
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17723,8815918
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19468,8815918
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9356,8815918
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9946,8815918
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,32,8645704
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31,8766670
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,31,18494904
2018-08-20 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,430,9494739
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,294,10853976
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9982,11408134
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9624,11507665
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,10382,14184374
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,16950,12511114
2018-08-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,12923,12185371
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,9599,12449110
2018-08-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6485,14245685
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5235,13694264
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8291,13602351
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,15795,15929912
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,15643,15999750
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8889,16723999
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,13225,18625599
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9597,15910458
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8678,15617517
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19734,16079441
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,13597,18175419
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4806,17798220
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3878,19264904
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7534,17051182
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8388,19123994
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12147,19489140
2018-07-25 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,12198,21762922
2018-07-24 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,4853,18937958
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14832,19333132
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,17514,19414972
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10806,19192882
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14602,20177686
2018-07-19 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,6059,20818792
2018-07-18 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,34564,22734772
2018-07-17 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,38070,19370752
2018-07-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,29689,20380058
2018-07-15 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,9558,19486418
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7473,19102628
2018-07-13 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,22023,18489076
2018-07-12 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,6947,21730254
2018-07-11 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,15940,21406522
2018-07-10 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,18593,23364248
2018-07-09 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,26769,25652550
2018-07-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,44632,26283840
2018-07-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,21664,24760642
2018-07-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,13228,24088514
2018-07-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,13455,24435922
2018-07-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8691,26735692
2018-07-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,8225,27996044
2018-07-02 00:00:00 +0000 UTC,0.4,0.4,0.2,0.3,13738,29069204
2018-07-01 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,1359,28009740
2018-06-30 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,2923,17947214
2018-06-29 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,2542,26363782
2018-06-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,173,27224622
2018-06-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,25,26982902
2018-06-26 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,467,19337686
2018-06-25 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,370,24941734
2018-06-24 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,4806,24661650
2018-06-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,54559,22429138
2018-06-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,34731,25880890
2018-06-21 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,39208,26599922
2018-06-20 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,29197,29605002
2018-06-19 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,7296,29041832
2018-06-18 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,12784,30618656
2018-06-17 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,321,30637286
2018-06-16 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,2230,29646640
2018-06-15 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,13591,34680692
2018-06-14 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,27877,27720588
2018-06-13 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,56469,30628988
2018-06-12 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,5465,32055440
2018-06-11 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,29158,32186934
2018-06-10 00:00:00 +0000 UTC,0.5,0.5,0.3,0.4,53827,38775400
2018-06-09 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,41413,41745976
2018-06-08 00:00:00 +0000 UTC,0.5,0.5,0.5,0.5,81816,43143420
2018-06-07 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,87441,43799952
2018-06-06 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,125028,40433752
2018-06-05 00:00:00 +0000 UTC,0.5,0.5,0.4,0.5,19653,38914728
2018-06-04 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,89354,46372492
2018-06-03 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,231776,46238084
2018-06-02 00:00:00 +0000 UTC,0.6,1.0,0.5,0.6,145520,51067728
2018-06-01 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,45442,46075616
2018-05-31 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,27850,41040380
2018-05-30 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,522068,42645604
2018-05-29 00:00:00 +0000 UTC,0.4,0.6,0.4,0.5,554787,29387632
2018-05-28 00:00:00 +0000 UTC,0.5,0.5,0.3,0.3,394739,42553012
2018-05-27 00:00:00 +0000 UTC,0.5,0.6,0.5,0.5,357859,40371616
2018-05-26 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,313310,45654956
2018-05-25 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,1175390,45643220
2018-05-24 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,1163060,44032456
2018-05-23 00:00:00 +0000 UTC,0.6,0.6,0.4,0.5,1175170,51328104
2018-05-22 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,1295770,47682064
2018-05-21 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,1253320,56831484
2018-05-20 00:00:00 +0000 UTC,0.7,0.7,0.5,0.7,1483820,56101020
2018-05-19 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,809038,59161832
2018-05-18 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,828671,58230776
2018-05-17 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,695395,63558984
2018-05-16 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,337673,60119260
2018-05-15 00:00:00 +0000 UTC,0.9,0.9,0.7,0.7,310964,71757592
2018-05-14 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,392988,75363784
2018-05-13 00:00:00 +0000 UTC,0.8,1.0,0.7,0.9,393040,67742496
2018-05-12 00:00:00 +0000 UTC,0.8,0.9,0.7,0.8,403938,66081028
2018-05-11 00:00:00 +0000 UTC,0.8,0.9,0.7,0.8,357437,69561512
2018-05-10 00:00:00 +0000 UTC,0.9,1.0,0.7,0.8,357967,78153872
2018-05-09 00:00:00 +0000 UTC,0.9,1.0,0.7,0.9,430514,76245912
2018-05-08 00:00:00 +0000 UTC,1.0,1.1,0.7,0.9,384159,84040608
2018-05-07 00:00:00 +0000 UTC,1.1,1.1,0.6,1.0,461174,92749240
2018-05-06 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,513509,96317856
2018-05-05 00:00:00 +0000 UTC,1.2,1.3,1.0,1.2,541152,100505448
2018-05-04 00:00:00 +0000 UTC,1.4,1.4,1.1,1.2,563862,112005584
2018-05-03 00:00:00 +0000 UTC,1.3,1.4,1.3,1.4,655014,106464152
2018-05-02 00:00:00 +0000 UTC,1.5,1.5,1.2,1.3,733453,126268904
2018-05-01 00:00:00 +0000 UTC,1.6,1.6,1.5,1.5,651440,132271480
2018-04-30 00:00:00 +0000 UTC,1.4,1.8,1.4,1.6,825185,115129336
2018-04-29 00:00:00 +0000 UTC,1.3,1.4,1.2,1.4,122736,104943320
2018-04-28 00:00:00 +0000 UTC,1.2,1.4,1.2,1.3,59623,102255192
2018-04-27 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,117353,108580216
