Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15714,2333839
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4745,2593695
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11051,2326975
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4162,2165747
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4449,2287088
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9466,2079313
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5369,1936952
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1714,1888750
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6758,1994494
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,956,1950682
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2169,2116226
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3956,2125303
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2624,2124724
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7155,1968930
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3108,2024735
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2267,1995742
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17685,2139289
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40254,2236325
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6255,2159901
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5313,2121816
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22129,2231350
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14695,2023848
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15699,2248174
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15149,2264690
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20580,2372900
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4227,2443152
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17370,2630753
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47509,2922787
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68346,3461097
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79512,2790315
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67536,3403111
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53135,2880790
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58562,3026695
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79311,2667511
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,203977,2797131
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,390333,4207008
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22061,3853935
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44607,4499167
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8462,4339453
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6801,4504972
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11951,6662057
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32599,4835092
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84033,4599417
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29909,4526817
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56057,4341898
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4853,4166144
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7716,3941086
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4044,4328378
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35486,4036677
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8839,6051693
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32086,2096171
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40476,6021447
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56257,4684353
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30417,5717946
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58138,4794037
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28750,3777978
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48916,4512152
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16976,5309229
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58680,4780937
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39421,5647675
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45496,4404607
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17807,4533386
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12627,4758978
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22997,4568944
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14631,4470981
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16591,5079258
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22884,4263991
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25213,5164473
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14198,5006914
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37826,5506552
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8652,5475947
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20076,5587863
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28542,5594874
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31239,5146643
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17609,5605262
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19535,5526335
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24589,5427184
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28021,5464311
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46114,6066676
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40324,7146392
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31658,5739148
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51792,6958562
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9551,7005520
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17988,7276814
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35044,8953806
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24042,7605610
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17476,7407990
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28575,7421099
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29389,7239826
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25511,7204031
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28343,7099433
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59681,6930660
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37454,7449429
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36860,6611161
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31441,7906757
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15974,7128639
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24795,7309270
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32230,7463448
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65605,7401399
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77873,8784630
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56802,9450118
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80900,10164191
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81789,8924523
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49602,9587685
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78132,8891478
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114028,8526092
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52937,8974836
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47592,9645796
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50764,9930254
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48955,9681454
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55871,9988052
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186751,11570861
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,576513,11441893
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,895648,10567755
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,890162,8906740
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29548,8971388
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53986,9342204
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23167,9357929
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101699,9671116
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86200,9438075
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95472,9066130
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54339,9017448
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63798,9618481
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95537,9784611
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61222,9014513
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96448,9534382
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84032,8803657
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90979,10090376
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137043,9568952
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76484,9198049
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58834,9401149
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58798,9932185
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82554,9314236
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142531,8416206
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87267,8046581
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61159,8194778
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48151,8522734
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71626,8517924
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104251,7861317
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119099,7360049
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83841,7176892
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165579,6191200
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32980,5828269
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17259,6136865
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15856,5912395
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6227,5810255
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20328,6098083
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16852,5905972
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89273,6430800
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49711,5967856
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24797,5890777
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7919,5831850
