Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.2,1.3,1.1,1.1,411826,70838414
2018-08-29 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,533411,69392853
2018-08-28 00:00:00 +0000 UTC,1.2,1.3,1.2,1.2,689265,68628217
2018-08-27 00:00:00 +0000 UTC,1.1,1.2,1.1,1.2,2072090,63745188
2018-08-26 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,715170,64706310
2018-08-25 00:00:00 +0000 UTC,1.1,1.3,1.1,1.1,256355,64369099
2018-08-24 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,489111,68545827
2018-08-23 00:00:00 +0000 UTC,1.1,1.2,1.0,1.2,314277,60853044
2018-08-22 00:00:00 +0000 UTC,1.1,1.3,1.1,1.1,577413,62501041
2018-08-21 00:00:00 +0000 UTC,1.1,1.2,1.1,1.1,499663,59821676
2018-08-20 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,245385,63952572
2018-08-19 00:00:00 +0000 UTC,1.1,1.2,1.1,1.1,198475,63347133
2018-08-18 00:00:00 +0000 UTC,1.2,1.3,1.1,1.1,686677,69838134
2018-08-17 00:00:00 +0000 UTC,1.1,1.2,1.1,1.2,464676,61830574
2018-08-16 00:00:00 +0000 UTC,1.1,1.2,1.1,1.1,393533,62722991
2018-08-15 00:00:00 +0000 UTC,1.0,1.2,1.0,1.1,507352,54897445
2018-08-14 00:00:00 +0000 UTC,1.0,1.0,0.9,1.0,674276,56408687
2018-08-13 00:00:00 +0000 UTC,1.1,1.1,1.0,1.0,1071920,62071734
2018-08-12 00:00:00 +0000 UTC,1.1,1.2,1.1,1.1,358075,64799286
2018-08-11 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,512642,70140546
2018-08-10 00:00:00 +0000 UTC,1.3,1.4,1.2,1.2,665263,74111224
2018-08-09 00:00:00 +0000 UTC,1.2,1.3,1.2,1.3,759596,70635633
2018-08-08 00:00:00 +0000 UTC,1.4,1.4,1.2,1.2,1297260,80434047
2018-08-07 00:00:00 +0000 UTC,1.4,1.5,1.4,1.4,738497,81248860
2018-08-06 00:00:00 +0000 UTC,1.5,1.5,1.4,1.4,1208420,82630360
2018-08-05 00:00:00 +0000 UTC,1.5,1.5,1.4,1.4,433825,84003785
2018-08-04 00:00:00 +0000 UTC,1.6,1.6,1.4,1.5,1439010,90618779
2018-08-03 00:00:00 +0000 UTC,1.7,1.7,1.4,1.6,2697880,97749294
2018-08-02 00:00:00 +0000 UTC,1.9,1.9,1.7,1.7,2346670,107762212
2018-08-01 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,1075680,108157662
2018-07-31 00:00:00 +0000 UTC,2.0,2.0,1.8,1.9,1302700,116620915
2018-07-30 00:00:00 +0000 UTC,2.2,2.2,2.0,2.0,960732,122807447
2018-07-29 00:00:00 +0000 UTC,2.3,2.3,2.1,2.2,1649320,131346760
2018-07-28 00:00:00 +0000 UTC,2.1,2.6,2.1,2.3,9801150,121206776
2018-07-27 00:00:00 +0000 UTC,1.9,2.3,1.9,2.1,10612100,105469880
2018-07-26 00:00:00 +0000 UTC,1.9,2.1,1.8,1.9,2501900,106703168
2018-07-25 00:00:00 +0000 UTC,1.8,1.9,1.8,1.9,1808150,101046624
2018-07-24 00:00:00 +0000 UTC,1.8,1.9,1.8,1.8,1693050,104237728
2018-07-23 00:00:00 +0000 UTC,1.9,1.9,1.8,1.8,1058730,107728632
2018-07-22 00:00:00 +0000 UTC,1.9,2.1,1.9,1.9,2896550,105549944
2018-07-21 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,392338,105032096
2018-07-20 00:00:00 +0000 UTC,2.0,2.1,1.8,1.9,836018,116542776
2018-07-19 00:00:00 +0000 UTC,2.1,2.2,2.0,2.0,1220520,119117808
2018-07-18 00:00:00 +0000 UTC,2.0,2.2,2.0,2.1,1503720,115964176
2018-07-17 00:00:00 +0000 UTC,1.9,2.1,1.9,2.0,1290740,107917440
2018-07-16 00:00:00 +0000 UTC,1.8,1.9,1.7,1.9,1467860,100271072
2018-07-15 00:00:00 +0000 UTC,1.8,1.8,1.7,1.8,393462,100502488
2018-07-14 00:00:00 +0000 UTC,1.8,1.8,1.7,1.8,477692,100659896
2018-07-13 00:00:00 +0000 UTC,1.8,1.8,1.7,1.8,885529,98907448
2018-07-12 00:00:00 +0000 UTC,1.8,1.8,1.6,1.7,1186060,99851248
2018-07-11 00:00:00 +0000 UTC,1.7,1.8,1.7,1.8,569751,98695016
2018-07-10 00:00:00 +0000 UTC,1.9,1.9,1.7,1.7,760951,108809928
2018-07-09 00:00:00 +0000 UTC,2.0,2.0,1.9,1.9,967014,113341952
2018-07-08 00:00:00 +0000 UTC,2.0,2.1,2.0,2.0,1368080,116061160
2018-07-07 00:00:00 +0000 UTC,2.1,2.1,1.9,2.0,1049720,119266432
2018-07-06 00:00:00 +0000 UTC,2.1,2.2,1.9,2.1,3714910,119883928
2018-07-05 00:00:00 +0000 UTC,2.1,2.2,2.1,2.1,987063,121791248
2018-07-04 00:00:00 +0000 UTC,2.1,2.2,2.1,2.1,740894,119982992
2018-07-03 00:00:00 +0000 UTC,2.1,2.2,2.1,2.1,1284470,121502152
2018-07-02 00:00:00 +0000 UTC,2.0,2.2,1.9,2.2,1373390,111550760
2018-07-01 00:00:00 +0000 UTC,2.0,2.0,1.9,2.0,1074840,113905544
2018-06-30 00:00:00 +0000 UTC,1.9,2.0,1.9,2.0,987931,105340320
2018-06-29 00:00:00 +0000 UTC,1.8,1.9,1.7,1.9,747980,103547376
2018-06-28 00:00:00 +0000 UTC,1.9,1.9,1.8,1.8,665750,108619184
2018-06-27 00:00:00 +0000 UTC,1.8,2.0,1.8,1.9,838907,103769496
2018-06-26 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,749749,107617504
2018-06-25 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,955835,107918984
2018-06-24 00:00:00 +0000 UTC,2.0,2.0,1.8,1.9,734319,112993216
2018-06-23 00:00:00 +0000 UTC,2.0,2.0,1.9,2.0,922223,112667816
2018-06-22 00:00:00 +0000 UTC,2.4,2.4,2.0,2.0,1552960,136797856
2018-06-21 00:00:00 +0000 UTC,2.5,2.5,2.4,2.4,1157200,139369280
2018-06-20 00:00:00 +0000 UTC,2.7,2.7,2.4,2.5,1540390,151369792
2018-06-19 00:00:00 +0000 UTC,2.7,2.7,2.6,2.7,1335320,153183056
2018-06-18 00:00:00 +0000 UTC,2.7,2.7,2.6,2.7,963315,152427568
2018-06-17 00:00:00 +0000 UTC,2.7,2.7,2.6,2.7,730197,151541840
2018-06-16 00:00:00 +0000 UTC,2.7,2.7,2.6,2.6,686543,152411328
2018-06-15 00:00:00 +0000 UTC,2.7,2.9,2.7,2.7,921848,154153248
2018-06-14 00:00:00 +0000 UTC,2.5,2.8,2.5,2.8,1222350,139246320
2018-06-13 00:00:00 +0000 UTC,2.8,2.8,2.4,2.5,1601940,155067968
2018-06-12 00:00:00 +0000 UTC,2.9,3.0,2.7,2.7,1417750,165367648
2018-06-11 00:00:00 +0000 UTC,2.9,3.1,2.8,3.0,1794110,166065920
2018-06-10 00:00:00 +0000 UTC,3.4,3.5,2.9,3.0,1672580,192533360
2018-06-09 00:00:00 +0000 UTC,3.6,3.6,3.4,3.4,1766680,200583312
2018-06-08 00:00:00 +0000 UTC,3.7,3.7,3.5,3.6,1145610,209121264
2018-06-07 00:00:00 +0000 UTC,3.8,3.8,3.7,3.7,1220690,212224832
2018-06-06 00:00:00 +0000 UTC,3.8,3.8,3.6,3.8,2009340,211642848
2018-06-05 00:00:00 +0000 UTC,3.8,3.8,3.6,3.8,2044760,214180320
2018-06-04 00:00:00 +0000 UTC,4.0,4.0,3.7,3.8,1288950,224270736
2018-06-03 00:00:00 +0000 UTC,3.9,4.0,3.9,4.0,1781600,219436304
2018-06-02 00:00:00 +0000 UTC,3.9,4.0,3.8,3.9,2139680,216956416
2018-06-01 00:00:00 +0000 UTC,3.9,3.9,3.8,3.9,1539760,220971296
2018-05-31 00:00:00 +0000 UTC,3.8,4.0,3.8,3.9,1949210,215853632
2018-05-30 00:00:00 +0000 UTC,4.0,4.3,3.8,3.8,4329010,224730800
2018-05-29 00:00:00 +0000 UTC,3.6,4.0,3.5,4.0,2809650,202601840
2018-05-28 00:00:00 +0000 UTC,3.8,3.8,3.5,3.6,3592560,213357136
2018-05-27 00:00:00 +0000 UTC,3.8,3.9,3.7,3.8,1180280,213717760
2018-05-26 00:00:00 +0000 UTC,3.8,3.9,3.8,3.8,1267940,213286704
2018-05-25 00:00:00 +0000 UTC,3.8,3.9,3.7,3.8,2688910,216339392
2018-05-24 00:00:00 +0000 UTC,3.7,3.9,3.5,3.8,2338360,208651184
2018-05-23 00:00:00 +0000 UTC,4.2,4.2,3.7,3.7,1966800,236022240
2018-05-22 00:00:00 +0000 UTC,4.6,4.6,4.2,4.2,2037810,260070768
2018-05-21 00:00:00 +0000 UTC,4.9,5.0,4.5,4.6,3534050,276505376
2018-05-20 00:00:00 +0000 UTC,4.7,4.9,4.7,4.9,1714990,266846544
2018-05-19 00:00:00 +0000 UTC,4.8,4.8,4.7,4.7,1354560,272124992
2018-05-18 00:00:00 +0000 UTC,4.7,4.8,4.6,4.8,1962960,264429936
2018-05-17 00:00:00 +0000 UTC,5.0,5.2,4.7,4.7,2886020,283325344
2018-05-16 00:00:00 +0000 UTC,5.2,5.2,4.8,5.0,3326720,292854080
2018-05-15 00:00:00 +0000 UTC,5.6,5.7,5.2,5.2,3668150,315381312
2018-05-14 00:00:00 +0000 UTC,5.7,5.8,5.4,5.6,5921860,317880704
2018-05-13 00:00:00 +0000 UTC,5.4,5.7,5.4,5.6,4081690,304702240
