Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260,114022
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,123552
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,113764
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369,119877
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,128186
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,443,122852
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,119682
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324,127740
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,141177
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,396,103443
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,123294
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,963,121795
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,964,129731
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,395,139625
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,712,138394
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,327,132294
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,292,138652
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,517,153924
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,162297
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2069,150845
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,254,175837
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,452,155867
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,383,182827
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,184,182804
