Date,Open,High,Low,Close,Volume,MarketCap
2018-08-29 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,11,146368
2018-08-28 00:00:00 +0000 UTC,1.0,1.0,0.7,0.7,28,190621
2018-08-24 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,10,126857
2018-08-23 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,10,124480
2018-08-22 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,34,158259
2018-08-21 00:00:00 +0000 UTC,0.5,0.8,0.5,0.8,50,102312
2018-08-20 00:00:00 +0000 UTC,0.7,0.7,0.5,0.5,9,139623
2018-08-19 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,11,137862
2018-08-18 00:00:00 +0000 UTC,0.9,0.9,0.7,0.7,5,170481
2018-08-17 00:00:00 +0000 UTC,1.0,1.0,0.7,0.9,117,189224
2018-08-16 00:00:00 +0000 UTC,0.5,1.0,0.5,1.0,108,102440
2018-08-15 00:00:00 +0000 UTC,0.6,1.0,0.5,0.5,97,110094
2018-08-14 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,175,144796
2018-08-13 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,25,149802
2018-08-12 00:00:00 +0000 UTC,0.7,1.0,0.7,0.8,49,144593
2018-08-11 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,88,140559
2018-08-10 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,72,142781
2018-08-09 00:00:00 +0000 UTC,1.0,1.0,0.7,0.7,85,188746
2018-08-08 00:00:00 +0000 UTC,1.2,1.2,0.9,1.0,246,245051
2018-08-07 00:00:00 +0000 UTC,1.1,1.3,1.1,1.2,63,218706
2018-08-06 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,99,212309
2018-08-04 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,48,233940
2018-08-03 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,54,230760
2018-08-02 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,10,233910
2018-08-01 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,25,237038
2018-07-31 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,15,244936
2018-07-29 00:00:00 +0000 UTC,1.3,1.3,1.3,1.3,22,252653
2018-07-28 00:00:00 +0000 UTC,1.5,1.6,1.3,1.3,43,304196
