Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4841570,189400478
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6770960,199849686
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7675840,186755685
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5799950,187743321
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10638000,162790573
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3045550,166626578
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3866930,161819225
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2938200,151010962
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2831230,162050534
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2636050,152814410
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2312420,170470270
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3017020,156473170
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4620810,191116868
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11634600,141190083
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2565580,133216762
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4631450,127425052
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3533820,133350145
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3665370,152169423
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2234700,152405408
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2938300,166121737
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2468260,187667111
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3210360,174681764
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8722590,219000258
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9738220,190993743
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4073400,206588636
