Date,Open,High,Low,Close,Volume,MarketCap
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1145,83274
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1090,84336
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2452,208303
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5198,263274
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5519,212198
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6424,259157
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4390,248342
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8072,383680
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5900,404538
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5954,591733
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5170,468931
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5570,422219
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,8156,789154
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,90129,1199652
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,89389,1520975
2018-07-01 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,16954,2018405
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,26202,2196008
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,4933,2179714
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,7468,2220413
2018-06-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,7157,2158587
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,8370,2202627
2018-06-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,19300,2092239
2018-06-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,15199,1918066
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12143,1602169
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3471,1812099
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10071,1654439
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9651,1825525
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30078,1585813
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10376,1691806
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10345,1620575
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21454,1807214
2018-06-15 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,23768,2129386
2018-06-14 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,19515,1813241
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19967,1808867
2018-06-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,71684,1865600
2018-06-11 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,71026,2780869
2018-06-10 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,15573,2941220
