Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,114732
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,97725
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,97746
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,117842
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,117866
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,109095
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,106534
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,108596
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,105621
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,104343
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,149128
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,111828
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,122015
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,110831
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,102192
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,118259
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,109869
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,102986
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,119629
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,115723
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,121293
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,134822
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130,121700
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,128786
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,123018
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,139484
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,139870
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,133511
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,126166
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,143414
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,164754
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,152539
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,153558
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217,149389
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,143836
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261,176275
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,154680
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,179388
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,149370
